,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
2521,C4591081,Pfizer,None,COVID-19,Vaccine-COVID,"  $1,177 ","  $1,177 ",0,184,  - ,  - ,  - ,  - ,  - ,"  $1,107 ",  $185 ,  $199 ,  - ,"  $1,491 "
2057,CD388.SQ.3.06,"Cidara Therapeutics, Inc",Parexel,Influenza,Vaccine-Influenza,"  $3,696 ","  $3,696 ",0,192,  - ,  - ,  $36 ,"  $1,837 ","  $1,873 ",  $697 ,  $577 ,  $10 ,  - ,"  $1,284 "
2115,D7960C00015,AstraZeneca,IQVIA,Dyslipidemia,Cardiovascular,"  $2,338 ","  $2,338 ",106,53,  - ,  - ,  $114 ,  $235 ,  $349 ,  $191 ,  $276 ,  $385 ,  $341 ,"  $1,193 "
2522,mRNA-1273_1283-P401,Moderna,None,COVID-19,Vaccine-COVID,"  $1,237 ","  $1,237 ",0,272,  - ,  - ,  - ,  $366 ,  $366 ,  $900 ,  $100 ,  $128 ,  - ,"  $1,127 "
1800,VXA-COV-202,Vaxart,ICON,COVID-19,Vaccine-COVID,"  $3,528 ","  $3,528 ",0,283,  $44 ,  $836 ,"  $2,170 ",  $818 ,"  $3,868 ",  $633 ,  $110 ,  $309 ,  - ,"  $1,052 "
2675,C6491014,Pfizer,Unknown,Obesity,General Medicine,"  $1,500 ","  $1,350 ",75,0,  - ,  - ,  - ,  - ,  - ,  - ,  $219 ,  $363 ,  $263 ,  $845 
2594,V2000103,Veru,Worldwide Clinical Trials,Obesity,General Medicine,"  $1,752 ","  $1,752 ",36,8,  - ,  - ,  - ,  - ,  - ,  $75 ,  $184 ,  $299 ,  $233 ,  $791 
258,mRNA-1189-P101,Moderna,PPD,Epstein Barr,Vaccine-Other,"  $1,748 ","  $1,748 ",0,53,  $35 ,  $0 ,  $0 ,  $12 ,  $48 ,  $758 ,  $14 ,  $14 ,  - ,  $787 
2633,C6481001,Pfizer,Unknown,Influenza,Vaccine-Influenza,  $743 ,  $743 ,40,72,  - ,  - ,  - ,  - ,  - ,  $269 ,  $315 ,  - ,  $165 ,  $749 
2217,K9531-3103 (OAB58025),Kailera Therapeutics,IQVIA,Obesity,General Medicine,"  $1,237 ","  $1,237 ",20,20,  - ,  - ,  - ,  $51 ,  $51 ,  $129 ,  $129 ,  $222 ,  $177 ,  $657 
1621,VAX31-106,Vaxcyte,PPD,Pneumococcal,Vaccine-Other,  $599 ,  $599 ,0,59,  - ,  - ,  $19 ,  - ,  $19 ,  $503 ,  $96 ,  $34 ,  - ,  $632 
2558,TRS-018,Tarsus,Allucent,Lyme,Vaccine-Other,  $840 ,  $840 ,35,15,  - ,  - ,  - ,  - ,  - ,  $58 ,  $180 ,  $217 ,  $149 ,  $604 
2558,TRS-018,Tarsus,PPD,Lyme,Vaccine-Other,  $840 ,  $840 ,35,12,  - ,  - ,  - ,  - ,  - ,  $26 ,  $180 ,  $217 ,  $149 ,  $572 
2507,2019nCoV-420,Novavax,ICON,COVID-19,Vaccine-COVID,  $646 ,  $646 ,89,0,  - ,  - ,  - ,  $96 ,  $96 ,  $132 ,  $320 ,  $65 ,  $34 ,  $550 
2242,PARA_OA_012,Paradigm Biopharmaceuticals,Advanced Clinical ((Advanced Clinical)),Osteoarthritis,Rheumatoid and Autoimmune,  $615 ,  $615 ,13,28,  - ,  - ,  $24 ,  $56 ,  $80 ,  $131 ,  $199 ,  $167 ,  $51 ,  $548 
2593,"  306,938 ",GSK,(No Info),Influenza,Vaccine-Influenza,"  $2,720 ",  $816 ,320,,  - ,  - ,  - ,  - ,  - ,  - ,  $130 ,  $206 ,  $206 ,  $543 
2285,D8750C00014,AstraZeneca,None,Obesity,General Medicine,"  $1,800 ",  $540 ,90,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $303 ,  $237 ,  $540 
2651,J2A-MC-GZVA,Eli Lilly,Unknown,Not Available in Atom,Endocrine & Metabolism,"  $4,200 ","  $1,260 ",210,,  - ,  - ,  - ,  - ,  - ,  - ,  $90 ,  $224 ,  $224 ,  $538 
1888,D6973C00001,AstraZeneca,(No Info),Cardiovascular Disease,Cardiovascular,  $991 ,  $991 ,29,19,  - ,  $12 ,  $50 ,  $84 ,  $146 ,  $89 ,  $114 ,  $191 ,  $126 ,  $521 
