,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,8,2009,Non-Priority,77242113PSA3002,Janssen,(No Info),Psoriatic Arthritis,Rheumatology,Non-Vaccine,1,3/12/2025,5,3,"166,716",100%,0%,0,0,100%,,"53,501","22,610","13,308","8,010","9,573","113,215",,"10,546","5,279","6,785","5,619","4,837","2,852","1,917","1,917","4,176","3,019","4,936","1,618",,,,,"22,610","13,308","8,010","9,573",,"10,546","5,279","6,785","5,619","4,837","2,852","1,917","1,917","4,176","3,019","4,936","1,618","53,501",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,Other,,2009,77242113PSA3002,10546,Non-Priority
,9,2012,Non-Priority,FpA-AS-30093,Teva Pharmaceuticals,PPD,Asthma,Respiratory,Non-Vaccine,1,3/10/2025,12,2,"39,579",100%,0%,0,0,100%,,"10,594",0,"3,041","7,553",0,"28,984",,0,0,0,0,0,"3,041","6,750",803,0,0,0,0,,,,,0,"3,041","7,553",0,,0,0,0,0,0,"3,041","6,750",803,0,0,0,0,"10,594",,0,0,0,0,0,0,0,0,0,0,0,0,,,,PPD,Other,,2012,FpA-AS-30093,0,Non-Priority
,10,2053,Non-Priority,M25-056,Abbvie,(No Info),Rheumatoid Arthritis,Rheumatology,Non-Vaccine,2,5/5/2026,6,11,"284,378",100%,0%,0,0,100%,,"240,962","48,369","123,417","47,889","21,288","43,416",,"23,615","14,009","10,745","79,173","36,211","8,034","18,674","17,686","11,529","10,346","5,727","5,215",,,,,"48,369","123,417","47,889","21,288",,"23,615","14,009","10,745","79,173","36,211","8,034","18,674","17,686","11,529","10,346","5,727","5,215","240,962",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2053,M25-056,23615,Non-Priority
,11,2132,Non-Priority,FYU-981-CRYS-301,Crystal therapeutics,ICON,Gout,General Medicine,Non-Vaccine,2,12/17/2025,10,2,"130,005",100%,0%,0,0,100%,,"78,225","20,464","14,532","23,007","20,222","51,780",,67,"7,547","12,850","-2,757","2,764","14,525","10,744","7,553","4,710","6,535","7,349","6,338",,,,,"20,464","14,532","23,007","20,222",,67,"7,547","12,850","-2,757","2,764","14,525","10,744","7,553","4,710","6,535","7,349","6,338","78,225",,0,0,0,0,0,0,0,0,0,0,0,0,,,,ICON,Other,,2132,FYU-981-CRYS-301,67,Non-Priority
,12,2126,Non-Priority,DQB104CT,Chugai,IQVIA,Celiac Disease,Gastroenterology,Non-Vaccine,1,4/10/2026,2,1,"39,823",100%,0%,0,0,100%,,"55,593","21,500","12,320","9,699","12,074","-15,770",,0,0,"21,500",0,0,"12,320","4,611","2,544","2,544","5,088","2,544","4,442",,,,,"21,500","12,320","9,699","12,074",,0,0,"21,500",0,0,"12,320","4,611","2,544","2,544","5,088","2,544","4,442","55,593",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,Other,,2126,DQB104CT,0,Non-Priority
,13,2134,Non-Priority,1378-0018,Boehringer Ingelheim,(No Info),Heart Failure,Cardiovascular,Non-Vaccine,1,7/24/2025,7,5,"173,534",100%,0%,0,0,100%,,"56,249","5,132","9,758","28,285","13,074","117,285",,488,"4,522",122,"9,758",0,0,"9,097","8,149","11,039","4,740","5,025","3,309",,,,,"5,132","9,758","28,285","13,074",,488,"4,522",122,"9,758",0,0,"9,097","8,149","11,039","4,740","5,025","3,309","56,249",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2134,1378-0018,488,Non-Priority
,14,1888,Non-Priority,D6973C00001,AstraZeneca,(No Info),Cardiovascular Disease,Cardiovascular,Non-Vaccine,3,12/29/2025,50,50,"1,154,300",100%,0%,0,0,100%,,"690,072","145,061","161,520","236,302","147,188","464,228",,"48,475","37,651","58,935","52,978","58,363","50,178","76,497","88,049","71,756","60,294","49,919","36,975",,,,,"145,061","161,520","236,302","147,188",,"48,475","37,651","58,935","52,978","58,363","50,178","76,497","88,049","71,756","60,294","49,919","36,975","690,072",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,AstraZeneca,,1888,D6973C00001,48475,Non-Priority
,15,2073,Non-Priority,GS-US-667-6882,Gilead Sciences,IQVIA,Rheumatoid Arthritis,Rheumatology,Non-Vaccine,1,6/2/2025,5,1,"122,644",100%,0%,0,0,100%,,"155,233","56,484","66,758","26,805","5,186","-32,589",,"16,088","24,455","15,941","23,430","28,776","14,552","10,320","9,807","6,678","2,458","2,728",0,,,,,"56,484","66,758","26,805","5,186",,"16,088","24,455","15,941","23,430","28,776","14,552","10,320","9,807","6,678","2,458","2,728",0,"155,233",,0,0,0,0,0,0,0,0,0,0,0,0,0,,,IQVIA,Other,,2073,GS-US-667-6882,16088,Non-Priority
,16,2098,Non-Priority,MK7240-013,Merck,(No Info),Ankylosing Spondylitis,General Medicine,Non-Vaccine,1,12/15/2025,4,4,"219,149",100%,0%,0,0,100%,,"128,967","8,654","71,992","31,711","16,611","90,182",,0,"4,158","4,496",700,"57,432","13,860","10,129","14,724","6,858","6,858","3,167","6,586",,,,,"8,654","71,992","31,711","16,611",,0,"4,158","4,496",700,"57,432","13,860","10,129","14,724","6,858","6,858","3,167","6,586","128,967",,0,0,0,0,0,0,0,0,0,0,0,0,,,,Other,Other,,2098,MK7240-013,0,Non-Priority
,17,2115,Non-Priority,D7960C00015,AstraZeneca,IQVIA,Dyslipidemia,Cardiovascular,Non-Vaccine,9,5/1/2026,116,127,"2,399,851",100%,0%,0,0,100%,,"1,328,602","191,062","376,949","405,701","354,890","1,071,250",,"49,523","74,297","67,242","133,575","140,913","102,461","147,877","114,611","143,213","124,044","112,606","118,240",,,,,"191,062","376,949","405,701","354,890",,"49,523","74,297","67,242","133,575","140,913","102,461","147,877","114,611","143,213","124,044","112,606","118,240","1,328,602",,0,0,0,0,0,0,0,0,0,0,0,0,,,,IQVIA,AstraZeneca,,2115,D7960C00015,49523,Non-Priority
