,"$145,563,230.62","$125,485,543.64","$149,511,760.00",,1/1/2023,1/1/2023,1/1/2023,1/1/2023,1/1/2023,2/1/2023,2/1/2023,2/1/2023,2/1/2023,3/1/2023,3/1/2023,3/1/2023,3/1/2023,4/1/2023,4/1/2023,4/1/2023,4/1/2023,5/1/2023,5/1/2023,5/1/2023,5/1/2023,5/1/2023,6/1/2023,6/1/2023,6/1/2023,6/1/2023,7/1/2023,7/1/2023,7/1/2023,7/1/2023,7/1/2023,8/1/2023,8/1/2023,8/1/2023,8/1/2023,9/1/2023,9/1/2023,9/1/2023,9/1/2023,10/1/2023,10/1/2023,10/1/2023,10/1/2023,10/1/2023,11/1/2023,11/1/2023,11/1/2023,11/1/2023,12/1/2023,12/1/2023,12/1/2023,12/1/2023,1/1/2024,1/1/2024,1/1/2024,1/1/2024,1/1/2024,2/1/2024,2/1/2024,2/1/2024,2/1/2024,3/1/2024,3/1/2024,3/1/2024,3/1/2024,4/1/2024,4/1/2024,4/1/2024,4/1/2024,4/1/2024,5/1/2024,5/1/2024,5/1/2024,5/1/2024,6/1/2024,6/1/2024,6/1/2024,6/1/2024,7/1/2024,7/1/2024,7/1/2024,7/1/2024,7/1/2024,8/1/2024,8/1/2024,8/1/2024,8/1/2024,9/1/2024,9/1/2024,9/1/2024,9/1/2024,9/1/2024,10/1/2024,10/1/2024,10/1/2024,10/1/2024,11/1/2024,11/1/2024,11/1/2024,11/1/2024,12/1/2024,12/1/2024,12/1/2024,12/1/2024,12/1/2024,1/1/2025,1/1/2025,1/1/2025,1/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,4/1/2025,4/1/2025,4/1/2025,4/1/2025,5/1/2025,5/1/2025,5/1/2025,5/1/2025,6/1/2025,6/1/2025,6/1/2025,6/1/2025,6/1/2025,7/1/2025,7/1/2025,7/1/2025,7/1/2025,8/1/2025,8/1/2025,8/1/2025,8/1/2025,9/1/2025,9/1/2025,9/1/2025,9/1/2025,9/1/2025,10/1/2025,10/1/2025,10/1/2025,10/1/2025,11/1/2025,11/1/2025,11/1/2025,11/1/2025,12/1/2025,12/1/2025,12/1/2025,12/1/2025,12/1/2025,1/1/2026,1/1/2026,1/1/2026,1/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,6/1/2026,6/1/2026,6/1/2026,6/1/2026,6/1/2026,7/1/2026,7/1/2026,7/1/2026,7/1/2026,8/1/2026,8/1/2026,8/1/2026,8/1/2026,8/1/2026,9/1/2026,9/1/2026,9/1/2026,9/1/2026,10/1/2026,10/1/2026,10/1/2026,10/1/2026,11/1/2026,11/1/2026,11/1/2026,11/1/2026,11/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,,,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$274,997,303.64",$0.00,"$1,164,326.48","$1,445,136.42","$1,471,207.04","$1,319,725.84","$1,292,123.41","$1,393,242.66","$1,303,511.65","$1,437,459.65","$1,246,191.10","$1,387,420.25","$1,343,322.82","$1,084,398.82","$951,219.82","$1,080,912.77","$1,342,766.27","$1,498,380.21","$1,746,321.35","$1,912,643.73","$2,276,313.96","$2,220,967.09","$2,062,793.55","$1,795,642.93","$1,925,621.64","$2,043,086.23","$1,958,826.52","$1,275,914.42","$1,126,742.47","$1,228,720.23","$1,470,345.16","$1,150,167.28","$1,290,621.51","$1,419,807.63","$1,652,829.78","$1,897,483.55","$1,393,834.07","$1,591,015.55","$1,482,084.62","$1,817,548.44","$1,908,844.54","$2,355,058.69","$2,128,123.45","$1,881,623.47","$2,740,546.97","$2,938,608.39","$3,273,389.16","$2,810,837.58","$1,826,716.10","$2,693,268.16","$2,343,457.28","$1,688,330.80","$1,201,654.06","$1,049,744.04","$1,664,749.59","$1,800,909.39","$1,375,335.14","$1,171,602.18","$1,560,688.06","$1,497,511.27","$1,363,029.03","$1,376,529.18","$1,304,049.05","$1,275,924.68","$1,053,064.38","$1,014,210.56","$884,383.46","$999,543.89","$1,117,804.43","$1,204,774.38","$1,111,337.10","$1,528,290.22","$1,959,770.86","$1,652,224.09","$1,160,686.78","$1,111,865.12","$1,222,887.25","$1,065,033.00","$843,182.02","$822,209.06","$659,144.47","$712,656.03","$802,048.65","$767,171.85","$873,684.93","$851,181.59","$843,751.28","$702,885.22","$622,439.31","$479,614.52","$540,706.31","$427,662.71","$520,635.63","$2,280,016.62","$2,643,236.21","$2,170,719.72","$2,430,869.10","$2,644,601.60","$2,294,649.45","$2,405,256.89","$2,035,342.58","$1,198,719.67","$1,654,743.54","$1,432,582.28","$1,327,477.62","$622,537.20","$633,919.51","$1,034,771.09","$1,208,741.91","$787,700.58","$810,812.56","$822,921.89","$762,314.73","$583,408.90","$703,167.48","$621,919.05","$1,165,108.56","$1,510,719.28","$913,453.61","$895,659.95","$1,091,660.04","$1,974,008.62","$2,678,749.66","$1,997,992.40","$1,384,140.62","$880,338.91","$779,793.59","$610,096.02","$621,180.85","$731,668.83","$703,829.98","$666,656.15","$248,539.45","$853,680.84","$777,602.48","$559,793.86","$583,455.39","$569,315.61","$497,299.38","$507,978.11","$587,362.72","$505,962.44","$462,945.10","$439,317.38","$434,710.34","$758,725.98","$1,451,592.16","$1,439,016.70","$1,203,270.71","$801,508.55","$2,180,265.48","$2,140,094.64","$882,248.09","$800,381.39","$1,891,655.63","$1,948,726.70","$1,559,768.63","$791,869.69","$879,940.22","$1,394,104.30","$1,447,254.13","$1,609,837.85","$1,619,619.99","$1,683,169.17","$1,591,660.83","$1,648,690.66","$1,171,318.12","$1,185,436.28","$1,053,683.66","$1,320,615.34","$1,121,444.68","$1,141,007.45","$1,087,135.57","$1,351,548.25","$1,492,106.03","$1,413,002.84","$1,333,060.31","$1,317,067.73","$1,092,394.96","$682,280.42","$770,186.28","$702,416.38","$834,600.28","$774,977.02","$692,565.46","$678,014.47","$707,964.92","$776,713.73","$734,259.10","$715,307.06","$665,922.34","$511,000.58","$594,821.67","$866,038.97","$626,517.67","$650,771.08","$512,554.87","$956,772.46","$1,260,513.70","$1,226,859.49","$1,286,317.99","$1,284,429.69","$1,082,489.82","$942,640.58","$679,192.60","$619,627.30","$988,694.89","$804,793.49","$642,768.28","$503,830.22","$412,490.64","$385,513.19","$403,225.88","$510,893.75","$477,969.92","$412,569.40","$248,238.49","$269,726.08","$294,383.65","$275,354.62","$225,400.29","$270,194.43","$306,282.96","$276,384.40","$204,021.05","$324,468.69","$364,044.27","$349,579.07","$296,327.33","$223,634.88","$197,763.63","$154,923.98","$194,897.02","$218,923.97","$236,452.06","$192,847.32","$171,132.06","$192,940.51","$229,014.14","$216,599.36","$227,734.83","$234,487.60","$244,967.63","$159,197.44","$113,963.45","$181,769.95","$141,802.36","$86,835.84","$100,780.96","$130,974.47","$163,623.50","$140,645.27","$104,697.26","$146,420.28","$215,949.49","$228,572.33","$95,353.37","$95,368.23","$78,590.87","$93,061.77","$75,358.12","$64,223.13","$60,445.01","$45,473.02","$57,926.99","$36,997.69","$45,824.87","$32,316.83","$36,407.33","$43,481.48","$35,835.55","$54,217.79","$36,778.11","$37,700.52","$42,659.94","$29,760.54","$24,331.70","$44,170.86","$25,027.86","$34,718.21","$46,269.87","$38,912.14","$19,055.31","$23,985.33","$24,474.54","$37,862.48","$14,926.41","$31,460.40","$23,712.51","$28,574.09","$40,940.98","$37,265.21","$35,293.12","$64,449.61","$45,468.39","$35,588.58","$38,113.08","$31,942.75","$35,963.01","$35,058.75","$28,468.43","$39,946.27","$34,399.61","$34,299.35","$25,212.65","$39,328.82","$34,894.36","$52,067.75","$25,193.72","$55,681.40","$42,599.90","$70,672.06","$42,637.31","$45,653.28","$64,836.92","$40,383.09","$53,905.57","$39,671.80","$50,801.62","$42,991.00","$44,343.50","$46,259.63","$36,790.75","$52,575.26","$57,257.95","$44,330.34","$43,176.82","$55,328.62","$38,722.21","$31,655.43","$33,154.90","$40,209.34","$30,396.12","$44,450.11","$31,521.47","$29,794.07","$33,570.86","$37,490.51","$26,427.89","$32,124.04","$40,546.20","$36,902.99","$19,380.60","$18,208.85","$14,884.07","$18,148.98","$19,419.70","$21,486.05","$10,180.34","$21,021.68","$9,509.04","$3,789.68","$5,541.00","$12,514.00","$8,476.00","$1,776.00","$1,776.00","$5,989.00","$8,476.00","$11,080.75","$1,776.00","$6,537.75","$1,776.00","$3,999.75","$9,231.00","$11,177.63","$11,450.76",$0.00,"$326,484.30","$274,997,303.06",,-$0.58,,,,,,,"$274,997,303.61","$6,021,766.99","$5,419,506.80","$5,359,433.24","$5,706,959.53","$9,362,059.01","$8,074,046.68","$5,276,411.49","$7,144,009.75","$7,034,799.47","$10,237,753.90","$11,939,559.50","$6,764,573.23","$6,912,100.47","$5,942,542.42","$4,487,343.06","$4,990,812.06","$6,847,200.90","$3,961,595.23","$3,487,926.22","$3,340,306.28","$2,293,705.86","$11,480,795.98","$8,300,589.98","$5,268,615.59","$4,222,449.63","$2,892,464.97","$4,349,216.87","$7,884,874.76","$4,274,787.74","$2,785,500.70","$2,833,303.07","$2,289,559.88","$2,024,722.72","$5,461,454.32","$6,013,861.92","$6,928,840.69","$6,200,170.36","$6,103,946.67","$5,140,550.96","$5,695,253.06","$4,759,637.65","$3,273,714.81","$3,177,272.81","$2,805,547.90","$2,811,083.54","$5,597,392.70","$3,560,293.96","$3,153,453.03","$1,904,897.29","$1,224,917.66","$1,196,952.61","$1,309,032.36","$1,000,703.26","$882,908.55","$933,655.07","$839,682.93","$523,879.03","$612,273.38","$651,876.01","$345,267.96","$202,747.83","$152,019.56","$188,152.39","$130,487.95","$143,073.18","$116,692.38","$142,966.83","$194,955.81","$157,368.20","$140,958.89","$186,056.33","$243,136.77","$202,798.39","$182,312.78","$218,288.93","$150,527.49","$157,940.39","$142,437.40","$103,479.88","$64,551.10","$46,529.72","$18,017.00","$33,065.50","$32,440.14",
,Error Checker,OK,,,Jan-2023,Jan-2023,Jan-2023,Jan-2023,Jan-2023,Feb-2023,Feb-2023,Feb-2023,Feb-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Apr-2023,Apr-2023,Apr-2023,Apr-2023,May-2023,May-2023,May-2023,May-2023,May-2023,Jun-2023,Jun-2023,Jun-2023,Jun-2023,Jul-2023,Jul-2023,Jul-2023,Jul-2023,Jul-2023,Aug-2023,Aug-2023,Aug-2023,Aug-2023,Sep-2023,Sep-2023,Sep-2023,Sep-2023,Oct-2023,Oct-2023,Oct-2023,Oct-2023,Oct-2023,Nov-2023,Nov-2023,Nov-2023,Nov-2023,Dec-2023,Dec-2023,Dec-2023,Dec-2023,Jan-2024,Jan-2024,Jan-2024,Jan-2024,Jan-2024,Feb-2024,Feb-2024,Feb-2024,Feb-2024,Mar-2024,Mar-2024,Mar-2024,Mar-2024,Apr-2024,Apr-2024,Apr-2024,Apr-2024,Apr-2024,May-2024,May-2024,May-2024,May-2024,Jun-2024,Jun-2024,Jun-2024,Jun-2024,Jul-2024,Jul-2024,Jul-2024,Jul-2024,Jul-2024,Aug-2024,Aug-2024,Aug-2024,Aug-2024,Sep-2024,Sep-2024,Sep-2024,Sep-2024,Sep-2024,Oct-2024,Oct-2024,Oct-2024,Oct-2024,Nov-2024,Nov-2024,Nov-2024,Nov-2024,Dec-2024,Dec-2024,Dec-2024,Dec-2024,Dec-2024,Jan-2025,Jan-2025,Jan-2025,Jan-2025,Feb-2025,Feb-2025,Feb-2025,Feb-2025,Mar-2025,Mar-2025,Mar-2025,Mar-2025,Mar-2025,Apr-2025,Apr-2025,Apr-2025,Apr-2025,May-2025,May-2025,May-2025,May-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Aug-2025,Aug-2025,Aug-2025,Aug-2025,Sep-2025,Sep-2025,Sep-2025,Sep-2025,Sep-2025,Oct-2025,Oct-2025,Oct-2025,Oct-2025,Nov-2025,Nov-2025,Nov-2025,Nov-2025,Dec-2025,Dec-2025,Dec-2025,Dec-2025,Dec-2025,Jan-2026,Jan-2026,Jan-2026,Jan-2026,Feb-2026,Feb-2026,Feb-2026,Feb-2026,Mar-2026,Mar-2026,Mar-2026,Mar-2026,Mar-2026,Apr-2026,Apr-2026,Apr-2026,Apr-2026,May-2026,May-2026,May-2026,May-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jul-2026,Jul-2026,Jul-2026,Jul-2026,Aug-2026,Aug-2026,Aug-2026,Aug-2026,Aug-2026,Sep-2026,Sep-2026,Sep-2026,Sep-2026,Oct-2026,Oct-2026,Oct-2026,Oct-2026,Nov-2026,Nov-2026,Nov-2026,Nov-2026,Nov-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,756,137","$3,209,272","$3,028,123","$2,509,631","$2,363,190","$3,061,124","$2,162,851","$2,483,274","$1,264,010","$803,670","$912,585","$798,110","$687,278","$663,023","$701,496","$620,629","$429,300","$382,990","$367,782","$267,406","$180,402","$133,574","$165,727","$108,960","$121,856","$88,631","$123,357","$163,650","$137,124","$115,472","$167,194","$221,285","$187,646","$166,811","$202,756","$138,450","$147,108","$129,140","$89,295","$51,254","$32,345","$4,720","$18,500","$18,388",
Study Name,PMT Reference,Study Name,Total Revenue,2021-2022,1/2/2023,1/9/2023,1/16/2023,1/23/2023,1/30/2023,2/6/2023,2/13/2023,2/20/2023,2/27/2023,3/6/2023,3/13/2023,3/20/2023,3/27/2023,4/3/2023,4/10/2023,4/17/2023,4/24/2023,5/1/2023,5/8/2023,5/15/2023,5/22/2023,5/29/2023,6/5/2023,6/12/2023,6/19/2023,6/26/2023,7/3/2023,7/10/2023,7/17/2023,7/24/2023,7/31/2023,8/7/2023,8/14/2023,8/21/2023,8/28/2023,9/4/2023,9/11/2023,9/18/2023,9/25/2023,10/2/2023,10/9/2023,10/16/2023,10/23/2023,10/30/2023,11/6/2023,11/13/2023,11/20/2023,11/27/2023,12/4/2023,12/11/2023,12/18/2023,12/25/2023,1/1/2024,1/8/2024,1/15/2024,1/22/2024,1/29/2024,2/5/2024,2/12/2024,2/19/2024,2/26/2024,3/4/2024,3/11/2024,3/18/2024,3/25/2024,4/1/2024,4/8/2024,4/15/2024,4/22/2024,4/29/2024,5/6/2024,5/13/2024,5/20/2024,5/27/2024,6/3/2024,6/10/2024,6/17/2024,6/24/2024,7/1/2024,7/8/2024,7/15/2024,7/22/2024,7/29/2024,8/5/2024,8/12/2024,8/19/2024,8/26/2024,9/2/2024,9/9/2024,9/16/2024,9/23/2024,9/30/2024,10/7/2024,10/14/2024,10/21/2024,10/28/2024,11/4/2024,11/11/2024,11/18/2024,11/25/2024,12/2/2024,12/9/2024,12/16/2024,12/23/2024,12/30/2024,1/6/2025,1/13/2025,1/20/2025,1/27/2025,2/3/2025,2/10/2025,2/17/2025,2/24/2025,3/3/2025,3/10/2025,3/17/2025,3/24/2025,3/31/2025,4/7/2025,4/14/2025,4/21/2025,4/28/2025,5/5/2025,5/12/2025,5/19/2025,5/26/2025,6/2/2025,6/9/2025,6/16/2025,6/23/2025,6/30/2025,7/7/2025,7/14/2025,7/21/2025,7/28/2025,8/4/2025,8/11/2025,8/18/2025,8/25/2025,9/1/2025,9/8/2025,9/15/2025,9/22/2025,9/29/2025,10/6/2025,10/13/2025,10/20/2025,10/27/2025,11/3/2025,11/10/2025,11/17/2025,11/24/2025,12/1/2025,12/8/2025,12/15/2025,12/22/2025,12/29/2025,1/5/2026,1/12/2026,1/19/2026,1/26/2026,2/2/2026,2/9/2026,2/16/2026,2/23/2026,3/2/2026,3/9/2026,3/16/2026,3/23/2026,3/30/2026,4/6/2026,4/13/2026,4/20/2026,4/27/2026,5/4/2026,5/11/2026,5/18/2026,5/25/2026,6/1/2026,6/8/2026,6/15/2026,6/22/2026,6/29/2026,7/6/2026,7/13/2026,7/20/2026,7/27/2026,8/3/2026,8/10/2026,8/17/2026,8/24/2026,8/31/2026,9/7/2026,9/14/2026,9/21/2026,9/28/2026,10/5/2026,10/12/2026,10/19/2026,10/26/2026,11/2/2026,11/9/2026,11/16/2026,11/23/2026,11/30/2026,12/7/2026,12/14/2026,12/21/2026,12/28/2026,1/4/2027,1/11/2027,1/18/2027,1/25/2027,2/1/2027,2/8/2027,2/15/2027,2/22/2027,3/1/2027,3/8/2027,3/15/2027,3/22/2027,3/29/2027,4/5/2027,4/12/2027,4/19/2027,4/26/2027,5/3/2027,5/10/2027,5/17/2027,5/24/2027,5/31/2027,6/7/2027,6/14/2027,6/21/2027,6/28/2027,7/5/2027,7/12/2027,7/19/2027,7/26/2027,8/2/2027,8/9/2027,8/16/2027,8/23/2027,8/30/2027,9/6/2027,9/13/2027,9/20/2027,9/27/2027,10/4/2027,10/11/2027,10/18/2027,10/25/2027,11/1/2027,11/8/2027,11/15/2027,11/22/2027,11/29/2027,12/6/2027,12/13/2027,12/20/2027,12/27/2027,1/3/2028,1/10/2028,1/17/2028,1/24/2028,1/31/2028,2/7/2028,2/14/2028,2/21/2028,2/28/2028,3/6/2028,3/13/2028,3/20/2028,3/27/2028,4/3/2028,4/10/2028,4/17/2028,4/24/2028,5/1/2028,5/8/2028,5/15/2028,5/22/2028,5/29/2028,6/5/2028,6/12/2028,6/19/2028,6/26/2028,7/3/2028,7/10/2028,7/17/2028,7/24/2028,7/31/2028,8/7/2028,8/14/2028,8/21/2028,8/28/2028,9/4/2028,9/11/2028,9/18/2028,9/25/2028,10/2/2028,10/9/2028,10/16/2028,10/23/2028,10/30/2028,11/6/2028,11/13/2028,11/20/2028,11/27/2028,12/4/2028,12/11/2028,12/18/2028,12/25/2028,1/1/2029,1/8/2029,1/15/2029,1/22/2029,1/29/2029,2/5/2029,2/12/2029,2/19/2029,2/26/2029,3/5/2029,3/12/2029,3/19/2029,3/26/2029,4/2/2029,4/9/2029,4/16/2029,4/23/2029,4/30/2029,5/7/2029,5/14/2029,5/21/2029,5/28/2029,6/4/2029,6/11/2029,6/18/2029,6/25/2029,7/2/2029,7/9/2029,7/16/2029,7/23/2029,7/30/2029,8/6/2029,8/13/2029,8/20/2029,8/27/2029,9/3/2029,9/10/2029,9/17/2029,9/24/2029,10/1/2029,10/8/2029,10/15/2029,10/22/2029,10/29/2029,11/5/2029,11/12/2029,11/19/2029,11/26/2029,12/3/2029,12/10/2029,12/17/2029,12/24/2029,12/31/2029,Remaining,Total Revenue,,,,Total PMT Rando Goals,Future Goals,FPFV,Budget PMT,,Total Revenue,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan-2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb-2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar-2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Feb 2027,Mar 2027,Apr 2027,May 2027,Jun 2027,Jul 2027,Aug 2027,Sep 2027,Oct 2027,Nov 2027,Dec 2027,Jan 2028,Feb 2028,Mar 2028,Apr 2028,May 2028,Jun 2028,Jul 2028,Aug 2028,Sep 2028,Oct 2028,Nov 2028,Dec 2028,Jan 2029,Feb 2029,Mar 2029,Apr 2029,May 2029,Jun 2029,Jul 2029,Aug 2029,Sep 2029,Oct 2029,Nov 2029,Dec 2029,Remaining
PMT 1MDC | ALN-AGT01-003,PMT 1,MDC | ALN-AGT01-003,"$165,734.00",,$0.00,$0.00,"$11,790.00",$0.00,"$16,506.00","$7,074.00","$1,289.00","$10,941.00","$12,230.00","$7,294.00","$8,583.00","$11,875.00","$9,383.00","$1,342.00","$8,894.00","$4,103.00","$3,647.00","$1,342.00","$1,289.00","$3,251.00",$0.00,$0.00,"$3,998.00","$4,808.00",$0.00,"$1,342.00","$2,047.00","$2,684.00",$0.00,$0.00,$0.00,"$2,684.00","$1,909.00",$0.00,"$1,342.00",$0.00,"$5,473.00",$0.00,$0.00,"$4,768.00",$0.00,$0.00,$0.00,"$1,342.00",$0.00,$0.00,$0.00,"$3,426.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,026.00",$0.00,$0.00,"$3,026.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,026.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,"$165,734.00",,,,0,$0.00,1/17/2023,"$40,359.00",,"$165,734.00","$14,148.00","$43,104.00","$39,713.00","$17,986.00","$5,882.00","$10,148.00","$4,731.00","$5,935.00","$5,473.00","$6,110.00","$3,426.00",$0.00,$0.00,$0.00,"$6,052.00",$0.00,"$3,026.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,
