,"$142,907,964.15","$123,196,520.82","$149,511,760.00",,1/1/2023,1/1/2023,1/1/2023,1/1/2023,1/1/2023,2/1/2023,2/1/2023,2/1/2023,2/1/2023,3/1/2023,3/1/2023,3/1/2023,3/1/2023,4/1/2023,4/1/2023,4/1/2023,4/1/2023,5/1/2023,5/1/2023,5/1/2023,5/1/2023,5/1/2023,6/1/2023,6/1/2023,6/1/2023,6/1/2023,7/1/2023,7/1/2023,7/1/2023,7/1/2023,7/1/2023,8/1/2023,8/1/2023,8/1/2023,8/1/2023,9/1/2023,9/1/2023,9/1/2023,9/1/2023,10/1/2023,10/1/2023,10/1/2023,10/1/2023,10/1/2023,11/1/2023,11/1/2023,11/1/2023,11/1/2023,12/1/2023,12/1/2023,12/1/2023,12/1/2023,1/1/2024,1/1/2024,1/1/2024,1/1/2024,1/1/2024,2/1/2024,2/1/2024,2/1/2024,2/1/2024,3/1/2024,3/1/2024,3/1/2024,3/1/2024,4/1/2024,4/1/2024,4/1/2024,4/1/2024,4/1/2024,5/1/2024,5/1/2024,5/1/2024,5/1/2024,6/1/2024,6/1/2024,6/1/2024,6/1/2024,7/1/2024,7/1/2024,7/1/2024,7/1/2024,7/1/2024,8/1/2024,8/1/2024,8/1/2024,8/1/2024,9/1/2024,9/1/2024,9/1/2024,9/1/2024,9/1/2024,10/1/2024,10/1/2024,10/1/2024,10/1/2024,11/1/2024,11/1/2024,11/1/2024,11/1/2024,12/1/2024,12/1/2024,12/1/2024,12/1/2024,12/1/2024,1/1/2025,1/1/2025,1/1/2025,1/1/2025,2/1/2025,2/1/2025,2/1/2025,2/1/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,3/1/2025,4/1/2025,4/1/2025,4/1/2025,4/1/2025,5/1/2025,5/1/2025,5/1/2025,5/1/2025,6/1/2025,6/1/2025,6/1/2025,6/1/2025,6/1/2025,7/1/2025,7/1/2025,7/1/2025,7/1/2025,8/1/2025,8/1/2025,8/1/2025,8/1/2025,9/1/2025,9/1/2025,9/1/2025,9/1/2025,9/1/2025,10/1/2025,10/1/2025,10/1/2025,10/1/2025,11/1/2025,11/1/2025,11/1/2025,11/1/2025,12/1/2025,12/1/2025,12/1/2025,12/1/2025,12/1/2025,1/1/2026,1/1/2026,1/1/2026,1/1/2026,2/1/2026,2/1/2026,2/1/2026,2/1/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,3/1/2026,4/1/2026,4/1/2026,4/1/2026,4/1/2026,5/1/2026,5/1/2026,5/1/2026,5/1/2026,6/1/2026,6/1/2026,6/1/2026,6/1/2026,6/1/2026,7/1/2026,7/1/2026,7/1/2026,7/1/2026,8/1/2026,8/1/2026,8/1/2026,8/1/2026,8/1/2026,9/1/2026,9/1/2026,9/1/2026,9/1/2026,10/1/2026,10/1/2026,10/1/2026,10/1/2026,11/1/2026,11/1/2026,11/1/2026,11/1/2026,11/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,12/1/2026,,,57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$272,708,280.82",$0.00,"$1,164,326.48","$1,445,136.42","$1,471,207.04","$1,319,725.84","$1,292,123.41","$1,393,242.66","$1,303,511.65","$1,437,459.65","$1,246,191.10","$1,387,420.25","$1,343,322.82","$1,084,398.82","$951,219.82","$1,080,912.77","$1,342,766.27","$1,498,380.21","$1,746,321.35","$1,912,643.73","$2,276,313.96","$2,220,967.09","$2,062,793.55","$1,795,642.93","$1,925,621.64","$2,043,086.23","$1,958,826.52","$1,275,914.42","$1,126,742.47","$1,228,720.23","$1,470,345.16","$1,150,167.28","$1,290,621.51","$1,419,807.63","$1,652,829.78","$1,897,483.55","$1,393,834.07","$1,591,015.55","$1,482,084.62","$1,817,548.44","$1,908,844.54","$2,355,058.69","$2,128,123.45","$1,881,623.47","$2,740,546.97","$2,938,608.39","$3,273,389.16","$2,810,837.58","$1,826,716.10","$2,693,268.16","$2,343,457.28","$1,688,330.80","$1,201,654.06","$1,049,744.04","$1,664,749.59","$1,800,909.39","$1,375,335.14","$1,171,602.18","$1,560,688.06","$1,497,511.27","$1,363,029.03","$1,376,529.18","$1,304,049.05","$1,275,924.68","$1,053,064.38","$1,014,210.56","$884,383.46","$999,543.89","$1,117,804.43","$1,204,774.38","$1,111,337.10","$1,528,290.22","$1,959,770.86","$1,652,224.09","$1,160,686.78","$1,111,865.12","$1,222,887.25","$1,065,033.00","$843,182.02","$822,209.06","$659,144.47","$712,656.03","$802,048.65","$767,171.85","$873,684.93","$851,181.59","$843,751.28","$702,885.22","$622,439.31","$479,614.52","$540,706.31","$427,662.71","$520,635.63","$2,280,016.62","$2,643,236.21","$2,170,719.72","$2,430,869.10","$2,644,601.60","$2,294,649.45","$2,405,256.89","$2,035,342.58","$1,198,719.67","$1,654,743.54","$1,432,582.28","$1,327,477.62","$622,537.20","$633,919.51","$1,034,771.09","$1,208,741.91","$787,700.58","$810,812.56","$822,921.89","$762,314.73","$583,408.90","$703,167.48","$621,919.05","$1,165,108.56","$1,510,719.28","$913,453.61","$895,659.95","$1,091,660.04","$1,974,008.62","$2,683,425.59","$1,997,992.40","$1,384,140.62","$880,338.91","$779,793.59","$610,096.02","$621,180.85","$731,668.83","$703,829.98","$666,656.15","$248,539.45","$853,680.84","$777,602.48","$559,793.86","$583,455.39","$569,315.61","$497,299.38","$507,978.11","$587,362.72","$505,962.44","$462,945.10","$439,317.38","$434,710.34","$759,330.18","$1,451,592.16","$1,439,016.70","$1,203,270.71","$801,508.55","$2,180,265.48","$2,142,213.20","$882,645.59","$800,778.89","$1,914,953.53","$1,974,263.47","$1,577,921.88","$812,089.00","$893,847.47","$1,406,217.05","$1,454,591.92","$1,612,413.01","$1,621,407.92","$1,676,940.38","$1,590,760.48","$1,640,373.01","$1,154,768.57","$1,169,781.65","$1,034,551.92","$1,297,960.06","$1,090,236.63","$1,252,206.46","$1,113,646.35","$1,536,145.06","$1,101,929.40","$1,329,098.47","$1,656,621.67","$1,269,683.15","$769,666.47","$603,485.36","$1,002,369.71","$848,223.05","$949,506.56","$617,284.82","$850,516.44","$732,261.60","$743,215.52","$559,908.53","$784,458.41","$689,044.92","$568,150.29","$443,117.72","$607,304.15","$838,531.44","$552,948.01","$550,477.38","$533,655.90","$977,980.60","$1,170,972.59","$1,128,451.63","$1,323,813.01","$1,302,108.18","$966,144.89","$800,452.28","$670,548.63","$591,531.54","$900,640.95","$694,930.81","$625,801.64","$508,114.54","$346,625.70","$299,368.96","$448,062.86","$551,699.54","$467,823.50","$363,333.93","$256,348.32","$242,321.87","$204,335.21","$224,685.92","$243,807.56","$256,523.45","$247,488.87","$216,338.41","$245,434.73","$336,219.18","$297,377.51","$285,243.31","$311,440.51","$216,632.79","$187,435.78","$138,708.84","$241,654.11","$238,937.58","$238,020.00","$151,360.23","$184,194.59","$169,893.36","$181,265.26","$163,388.41","$204,702.15","$173,739.10","$171,111.52","$121,294.02","$154,729.44","$181,024.98","$108,505.55","$70,236.23","$114,084.89","$153,121.30","$108,847.84","$82,103.84","$104,250.57","$168,924.25","$149,327.18","$108,821.34","$82,904.14","$101,871.77","$92,476.53","$70,881.13","$50,063.78","$52,860.52","$68,129.63","$40,174.00","$52,226.27","$30,043.94","$52,068.44","$31,453.59","$40,751.78","$41,119.73","$34,947.55","$47,384.79","$34,570.80","$38,345.17","$41,016.94","$32,293.23","$23,561.96","$47,236.93","$27,675.20","$31,648.40","$47,644.02","$48,993.40","$23,626.25","$27,041.71","$23,489.29","$36,110.39","$12,755.86","$30,627.92","$11,913.26","$35,577.29","$44,687.11","$30,468.65","$27,680.56","$45,824.63","$47,936.43","$21,278.77","$27,456.07","$20,953.44","$37,883.46","$32,840.46","$30,309.42","$33,332.97","$25,191.73","$43,801.94","$20,064.13","$52,457.47","$38,640.49","$43,802.29","$22,130.80","$51,583.23","$36,048.00","$56,720.43","$26,591.05","$41,093.79","$52,938.27","$48,158.18","$45,076.65","$45,690.87","$39,845.22","$36,597.97","$52,706.29","$47,413.49","$37,916.43","$41,276.36","$49,363.08","$49,170.93","$41,533.82","$61,716.17","$24,631.08","$23,457.39","$41,207.98","$40,199.02","$26,030.89","$40,279.43","$30,633.47","$32,891.11","$29,026.18","$31,687.15","$19,117.85","$31,617.04","$36,097.56","$31,099.63","$14,465.24","$18,953.53","$15,121.75","$13,700.34","$12,490.66","$11,884.37","$6,009.66","$14,559.36","$6,607.36","$1,643.00","$6,525.00","$7,597.00",$888.00,$888.00,$0.00,"$3,832.00","$7,588.00","$3,111.75",$0.00,"$4,380.75",$888.00,"$3,492.75",$0.00,"$9,401.63","$10,181.76",$0.00,"$210,803.30","$272,708,280.24",,$0.00,,,,,,,"$272,708,280.86","$6,021,766.99","$5,419,506.80","$5,359,433.24","$5,706,959.53","$9,362,059.01","$8,074,046.68","$5,276,411.49","$7,144,009.75","$7,034,799.47","$10,237,753.90","$11,939,559.50","$6,764,573.23","$6,912,100.47","$5,942,542.42","$4,487,343.06","$4,990,812.06","$6,847,200.90","$3,961,595.23","$3,487,926.22","$3,340,306.28","$2,293,705.86","$11,480,795.98","$8,300,589.98","$5,268,615.59","$4,222,449.63","$2,892,464.97","$4,349,216.87","$7,889,550.69","$4,274,787.74","$2,785,500.70","$2,833,303.07","$2,289,559.88","$2,024,722.72","$5,462,058.52","$6,016,775.48","$7,018,832.67","$6,230,894.87","$6,076,161.95","$5,041,567.88","$5,279,514.31","$4,908,588.59","$3,634,285.04","$3,192,105.32","$2,682,895.20","$2,601,917.10","$5,495,691.36","$3,261,679.90","$2,896,204.42","$1,881,268.32","$1,066,339.37","$1,049,987.93","$1,216,349.29","$978,596.73","$907,416.61","$809,822.08","$708,905.97","$486,538.51","$535,109.28","$459,877.10","$297,888.85","$199,980.13","$153,910.45","$172,248.48","$139,949.81","$162,368.66","$99,833.44","$138,413.61","$151,240.68","$144,788.11","$152,146.27","$167,535.35","$193,168.86","$191,510.87","$182,915.72","$208,021.34","$144,994.76","$143,929.48","$128,395.72","$86,155.52","$48,114.74","$29,960.36","$5,608.00","$20,656.50","$18,388.14",,,
,Error Checker,OK,,,Jan-2023,Jan-2023,Jan-2023,Jan-2023,Jan-2023,Feb-2023,Feb-2023,Feb-2023,Feb-2023,Mar-2023,Mar-2023,Mar-2023,Mar-2023,Apr-2023,Apr-2023,Apr-2023,Apr-2023,May-2023,May-2023,May-2023,May-2023,May-2023,Jun-2023,Jun-2023,Jun-2023,Jun-2023,Jul-2023,Jul-2023,Jul-2023,Jul-2023,Jul-2023,Aug-2023,Aug-2023,Aug-2023,Aug-2023,Sep-2023,Sep-2023,Sep-2023,Sep-2023,Oct-2023,Oct-2023,Oct-2023,Oct-2023,Oct-2023,Nov-2023,Nov-2023,Nov-2023,Nov-2023,Dec-2023,Dec-2023,Dec-2023,Dec-2023,Jan-2024,Jan-2024,Jan-2024,Jan-2024,Jan-2024,Feb-2024,Feb-2024,Feb-2024,Feb-2024,Mar-2024,Mar-2024,Mar-2024,Mar-2024,Apr-2024,Apr-2024,Apr-2024,Apr-2024,Apr-2024,May-2024,May-2024,May-2024,May-2024,Jun-2024,Jun-2024,Jun-2024,Jun-2024,Jul-2024,Jul-2024,Jul-2024,Jul-2024,Jul-2024,Aug-2024,Aug-2024,Aug-2024,Aug-2024,Sep-2024,Sep-2024,Sep-2024,Sep-2024,Sep-2024,Oct-2024,Oct-2024,Oct-2024,Oct-2024,Nov-2024,Nov-2024,Nov-2024,Nov-2024,Dec-2024,Dec-2024,Dec-2024,Dec-2024,Dec-2024,Jan-2025,Jan-2025,Jan-2025,Jan-2025,Feb-2025,Feb-2025,Feb-2025,Feb-2025,Mar-2025,Mar-2025,Mar-2025,Mar-2025,Mar-2025,Apr-2025,Apr-2025,Apr-2025,Apr-2025,May-2025,May-2025,May-2025,May-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Aug-2025,Aug-2025,Aug-2025,Aug-2025,Sep-2025,Sep-2025,Sep-2025,Sep-2025,Sep-2025,Oct-2025,Oct-2025,Oct-2025,Oct-2025,Nov-2025,Nov-2025,Nov-2025,Nov-2025,Dec-2025,Dec-2025,Dec-2025,Dec-2025,Dec-2025,Jan-2026,Jan-2026,Jan-2026,Jan-2026,Feb-2026,Feb-2026,Feb-2026,Feb-2026,Mar-2026,Mar-2026,Mar-2026,Mar-2026,Mar-2026,Apr-2026,Apr-2026,Apr-2026,Apr-2026,May-2026,May-2026,May-2026,May-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jun-2026,Jul-2026,Jul-2026,Jul-2026,Jul-2026,Aug-2026,Aug-2026,Aug-2026,Aug-2026,Aug-2026,Sep-2026,Sep-2026,Sep-2026,Sep-2026,Oct-2026,Oct-2026,Oct-2026,Oct-2026,Nov-2026,Nov-2026,Nov-2026,Nov-2026,Nov-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,Dec-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,854,730","$3,206,287","$2,581,594","$2,028,248","$1,834,852","$2,621,666","$1,752,883","$2,191,402","$1,122,622","$676,574","$733,088","$711,784","$590,346","$574,068","$536,134","$531,240","$389,060","$313,443","$322,112","$233,232","$159,651","$138,011","$156,527","$125,706","$148,369","$87,720","$126,283","$141,702","$138,723","$142,607","$162,351","$186,257","$184,599","$175,140","$201,109","$141,539","$141,337","$128,396","$86,156","$48,115","$29,960","$5,608","$20,657","$18,388",,,
Study Name,PMT Reference,Study Name,Total Revenue,2021-2022,1/2/2023,1/9/2023,1/16/2023,1/23/2023,1/30/2023,2/6/2023,2/13/2023,2/20/2023,2/27/2023,3/6/2023,3/13/2023,3/20/2023,3/27/2023,4/3/2023,4/10/2023,4/17/2023,4/24/2023,5/1/2023,5/8/2023,5/15/2023,5/22/2023,5/29/2023,6/5/2023,6/12/2023,6/19/2023,6/26/2023,7/3/2023,7/10/2023,7/17/2023,7/24/2023,7/31/2023,8/7/2023,8/14/2023,8/21/2023,8/28/2023,9/4/2023,9/11/2023,9/18/2023,9/25/2023,10/2/2023,10/9/2023,10/16/2023,10/23/2023,10/30/2023,11/6/2023,11/13/2023,11/20/2023,11/27/2023,12/4/2023,12/11/2023,12/18/2023,12/25/2023,1/1/2024,1/8/2024,1/15/2024,1/22/2024,1/29/2024,2/5/2024,2/12/2024,2/19/2024,2/26/2024,3/4/2024,3/11/2024,3/18/2024,3/25/2024,4/1/2024,4/8/2024,4/15/2024,4/22/2024,4/29/2024,5/6/2024,5/13/2024,5/20/2024,5/27/2024,6/3/2024,6/10/2024,6/17/2024,6/24/2024,7/1/2024,7/8/2024,7/15/2024,7/22/2024,7/29/2024,8/5/2024,8/12/2024,8/19/2024,8/26/2024,9/2/2024,9/9/2024,9/16/2024,9/23/2024,9/30/2024,10/7/2024,10/14/2024,10/21/2024,10/28/2024,11/4/2024,11/11/2024,11/18/2024,11/25/2024,12/2/2024,12/9/2024,12/16/2024,12/23/2024,12/30/2024,1/6/2025,1/13/2025,1/20/2025,1/27/2025,2/3/2025,2/10/2025,2/17/2025,2/24/2025,3/3/2025,3/10/2025,3/17/2025,3/24/2025,3/31/2025,4/7/2025,4/14/2025,4/21/2025,4/28/2025,5/5/2025,5/12/2025,5/19/2025,5/26/2025,6/2/2025,6/9/2025,6/16/2025,6/23/2025,6/30/2025,7/7/2025,7/14/2025,7/21/2025,7/28/2025,8/4/2025,8/11/2025,8/18/2025,8/25/2025,9/1/2025,9/8/2025,9/15/2025,9/22/2025,9/29/2025,10/6/2025,10/13/2025,10/20/2025,10/27/2025,11/3/2025,11/10/2025,11/17/2025,11/24/2025,12/1/2025,12/8/2025,12/15/2025,12/22/2025,12/29/2025,1/5/2026,1/12/2026,1/19/2026,1/26/2026,2/2/2026,2/9/2026,2/16/2026,2/23/2026,3/2/2026,3/9/2026,3/16/2026,3/23/2026,3/30/2026,4/6/2026,4/13/2026,4/20/2026,4/27/2026,5/4/2026,5/11/2026,5/18/2026,5/25/2026,6/1/2026,6/8/2026,6/15/2026,6/22/2026,6/29/2026,7/6/2026,7/13/2026,7/20/2026,7/27/2026,8/3/2026,8/10/2026,8/17/2026,8/24/2026,8/31/2026,9/7/2026,9/14/2026,9/21/2026,9/28/2026,10/5/2026,10/12/2026,10/19/2026,10/26/2026,11/2/2026,11/9/2026,11/16/2026,11/23/2026,11/30/2026,12/7/2026,12/14/2026,12/21/2026,12/28/2026,1/4/2027,1/11/2027,1/18/2027,1/25/2027,2/1/2027,2/8/2027,2/15/2027,2/22/2027,3/1/2027,3/8/2027,3/15/2027,3/22/2027,3/29/2027,4/5/2027,4/12/2027,4/19/2027,4/26/2027,5/3/2027,5/10/2027,5/17/2027,5/24/2027,5/31/2027,6/7/2027,6/14/2027,6/21/2027,6/28/2027,7/5/2027,7/12/2027,7/19/2027,7/26/2027,8/2/2027,8/9/2027,8/16/2027,8/23/2027,8/30/2027,9/6/2027,9/13/2027,9/20/2027,9/27/2027,10/4/2027,10/11/2027,10/18/2027,10/25/2027,11/1/2027,11/8/2027,11/15/2027,11/22/2027,11/29/2027,12/6/2027,12/13/2027,12/20/2027,12/27/2027,1/3/2028,1/10/2028,1/17/2028,1/24/2028,1/31/2028,2/7/2028,2/14/2028,2/21/2028,2/28/2028,3/6/2028,3/13/2028,3/20/2028,3/27/2028,4/3/2028,4/10/2028,4/17/2028,4/24/2028,5/1/2028,5/8/2028,5/15/2028,5/22/2028,5/29/2028,6/5/2028,6/12/2028,6/19/2028,6/26/2028,7/3/2028,7/10/2028,7/17/2028,7/24/2028,7/31/2028,8/7/2028,8/14/2028,8/21/2028,8/28/2028,9/4/2028,9/11/2028,9/18/2028,9/25/2028,10/2/2028,10/9/2028,10/16/2028,10/23/2028,10/30/2028,11/6/2028,11/13/2028,11/20/2028,11/27/2028,12/4/2028,12/11/2028,12/18/2028,12/25/2028,1/1/2029,1/8/2029,1/15/2029,1/22/2029,1/29/2029,2/5/2029,2/12/2029,2/19/2029,2/26/2029,3/5/2029,3/12/2029,3/19/2029,3/26/2029,4/2/2029,4/9/2029,4/16/2029,4/23/2029,4/30/2029,5/7/2029,5/14/2029,5/21/2029,5/28/2029,6/4/2029,6/11/2029,6/18/2029,6/25/2029,7/2/2029,7/9/2029,7/16/2029,7/23/2029,7/30/2029,8/6/2029,8/13/2029,8/20/2029,8/27/2029,9/3/2029,9/10/2029,9/17/2029,9/24/2029,10/1/2029,10/8/2029,10/15/2029,10/22/2029,10/29/2029,11/5/2029,11/12/2029,11/19/2029,11/26/2029,12/3/2029,12/10/2029,12/17/2029,12/24/2029,12/31/2029,Remaining,Total Revenue,,,,Total PMT Rando Goals,Future Goals,FPFV,Budget PMT,,Total Revenue,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan-2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb-2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar-2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Feb 2027,Mar 2027,Apr 2027,May 2027,Jun 2027,Jul 2027,Aug 2027,Sep 2027,Oct 2027,Nov 2027,Dec 2027,Jan 2028,Feb 2028,Mar 2028,Apr 2028,May 2028,Jun 2028,Jul 2028,Aug 2028,Sep 2028,Oct 2028,Nov 2028,Dec 2028,Jan 2029,Feb 2029,Mar 2029,Apr 2029,May 2029,Jun 2029,Jul 2029,Aug 2029,Sep 2029,Oct 2029,Nov 2029,Dec 2029,Remaining,,
PMT 1MDC | ALN-AGT01-003,PMT 1,MDC | ALN-AGT01-003,"$165,734.00",,$0.00,$0.00,"$11,790.00",$0.00,"$16,506.00","$7,074.00","$1,289.00","$10,941.00","$12,230.00","$7,294.00","$8,583.00","$11,875.00","$9,383.00","$1,342.00","$8,894.00","$4,103.00","$3,647.00","$1,342.00","$1,289.00","$3,251.00",$0.00,$0.00,"$3,998.00","$4,808.00",$0.00,"$1,342.00","$2,047.00","$2,684.00",$0.00,$0.00,$0.00,"$2,684.00","$1,909.00",$0.00,"$1,342.00",$0.00,"$5,473.00",$0.00,$0.00,"$4,768.00",$0.00,$0.00,$0.00,"$1,342.00",$0.00,$0.00,$0.00,"$3,426.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,026.00",$0.00,$0.00,"$3,026.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,026.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00,"$165,734.00",,,,0,$0.00,1/17/2023,"$40,359.00",,"$165,734.00","$14,148","$43,104","$39,713","$17,986","$5,882","$10,148","$4,731","$5,935","$5,473","$6,110","$3,426",$0,$0,$0,"$6,052",$0,"$3,026",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,Closed,
