,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
1819,C4771001,Pfizer,ICON,Clostridium Difficile,Vaccine-Other,"  $1,821 ","  $1,821 ",0,173,  $284 ,  $73 ,  $113 ,  $40 ,  $510 ,  $21 ,  $378 ,  $90 ,  $164 ,  $653 
1621,VAX31-106,Vaxcyte,PPD,Pneumococcal,Vaccine-Other,  $622 ,  $622 ,0,61,  - ,  - ,  $19 ,  - ,  $19 ,  $503 ,  $112 ,  $38 ,  - ,  $652 
2285,D8750C00014,AstraZeneca,None,Obesity,General Medicine,"  $1,800 ",  $740 ,90,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $320 ,  $285 ,  $605 
2242,PARA_OA_012,Paradigm Biopharmaceuticals,Advanced Clinical ((Advanced Clinical)),Osteoarthritis,Rheumatoid and Autoimmune,  $497 ,  $497 ,5,42,  - ,  - ,  $24 ,  $56 ,  $80 ,  $131 ,  $263 ,  $127 ,  $37 ,  $558 
2710,R5713-5715-ALG-2556,Regeneron,Parexel,Birch Pollen Allergy,Allergy/Immunology,"  $1,500 ","  $1,275 ",75,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $548 ,  $548 
2792,ASC30-302,Ascletis Pharma,PPD,Type 2 Diabetes,Endocrine & Metabolism,"  $6,048 ","  $1,814 ",302,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $212 ,  $331 ,  $544 
2283,D8750C00012,AstraZeneca,None,Obesity,General Medicine,"  $2,000 ",  $800 ,100,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $211 ,  $329 ,  $539 
2651,J2A-MC-GZVA,Eli Lilly,Unknown,Not Available in Atom,Endocrine & Metabolism,"  $4,200 ","  $1,260 ",210,,  - ,  - ,  - ,  - ,  - ,  - ,  $75 ,  $230 ,  $230 ,  $535 
2141,VRB-101-202,Verdiva Bio,Parexel,Obesity,General Medicine,  $483 ,  $483 ,12,0,  - ,  - ,  - ,  - ,  - ,  - ,  $86 ,  $248 ,  $181 ,  $516 
1888,D6973C00001,AstraZeneca,(No Info),Cardiovascular Disease,Cardiovascular,  $897 ,  $897 ,23,24,  - ,  $12 ,  $50 ,  $84 ,  $146 ,  $89 ,  $127 ,  $173 ,  $124 ,  $513 
2683,K-304-P004,"Kallyope, Inc",Confidence Pharmaceutical Research ((CFR)),Migraine,General Medicine,  $813 ,  $731 ,65,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $163 ,  $333 ,  $497 
2561,D7266C00001,AstraZeneca,None,CVOT,Cardiovascular,"  $2,742 ","  $2,162 ",115,0,  - ,  - ,  - ,  - ,  - ,  - ,  $4 ,  $155 ,  $336 ,  $494 
2114,D7960C00012,AstraZeneca,IQVIA,Dyslipidemia,Cardiovascular,"  $1,192 ","  $1,192 ",0,65,  - ,  $12 ,  $410 ,  $368 ,  $789 ,  $118 ,  $102 ,  $192 ,  $76 ,  $489 
2593,306938,GSK,(No Info),Influenza,Vaccine-Influenza,"  $2,720 ",  $816 ,320,,  - ,  - ,  - ,  - ,  - ,  - ,  $67 ,  $206 ,  $206 ,  $480 
2218,K9531-3104 (PAB77690),Kailera Therapeutics,IQVIA,Obesity,General Medicine,"  $1,694 ","  $1,014 ",51,11,  - ,  - ,  - ,  $17 ,  $17 ,  $84 ,  $106 ,  $115 ,  $154 ,  $459 
2749,ALV-101-1,,Worldwide Clinical Trials,Obesity,General Medicine,"  $1,280 ","  $1,072 ",64,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $128 ,  $324 ,  $452 
2513,K9531-3107,Kailera Therapeutics,IQVIA,Obesity,General Medicine,  $739 ,  $739 ,10,6,  - ,  - ,  - ,  - ,  - ,  $19 ,  $203 ,  $125 ,  $105 ,  $452 
2031,AR882-301,Arthrosi,IQVIA,Gout,Rheumatoid and Autoimmune,"  $1,263 ","  $1,263 ",0,58,  $119 ,  $440 ,  $411 ,  $210 ,"  $1,180 ",  $166 ,  $195 ,  $63 ,  $2 ,  $426 
2198,SPY002-072-201,Spyre Therapeutics,Parexel,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $718 ,  $718 ,1,32,  - ,  - ,  $108 ,  $169 ,  $277 ,  $186 ,  $115 ,  $64 ,  $57 ,  $422 
