,,OK,,,,,,,,,,Loaded,,,"91,446,893",,9.86%,"4,901,698","-1,050,038",,,"9,018,658",0,"176,090","2,924,502","5,918,066",8010667.758,"-1,007,990",0,0,0,0,0,"176,090","337,279","1,187,949","1,399,274","1,757,032","1,980,981","2,180,052",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,OK,,,,,
,8,2285,Priority,D8750C00014,Existing,AstraZeneca,None,Obesity,Obesity,Non-Vaccine,9,8/3/2026,116,90,"1,799,960",41%,0%,0,0,41%,"739,984","605,195",0,0,"320,083","285,112","780,029",,0,0,0,0,0,0,0,"156,536","163,547","151,859","102,427","30,826",,,,,0,0,"320,083","285,112",,0,0,0,0,0,0,0,"156,536","163,547","151,859","102,427","30,826","605,195",,0,0,0,0,0,0,0,0,0,0,0,0,,,31% - 75%,Other,151 to 300 Days,AstraZeneca,,2285,D8750C00014,,2285,2285
,9,2608,Priority,D7265C00001,Existing,AstraZeneca, (No Info) , Chronic Kidney Disease ,General Medicine,Non-Vaccine,7,8/3/2026,70,42,"840,042",84%,0%,0,0,84%,"708,035","135,193",0,0,"57,909","77,284","225,321",,0,0,0,0,0,0,0,"46,415","11,493","19,376","34,592","23,317",,,,,0,0,"57,909","77,284",,0,0,0,0,0,0,0,"46,415","11,493","19,376","34,592","23,317","135,193",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,151 to 300 Days,AstraZeneca,,2608,D7265C00001,,2608,2608
,10,2636,Priority,D7261C00003,Existing,AstraZeneca, Unknown , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,6,7/1/2026,36,33,"660,000",18%,0%,0,0,18%,"121,000","42,077",0,0,"15,914","26,163","45,902",,0,0,0,0,0,0,"4,061","4,978","6,875","8,769","8,750","8,645",,,,,0,0,"15,914","26,163",,0,0,0,0,0,0,"4,061","4,978","6,875","8,769","8,750","8,645","42,077",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,151 to 300 Days,AstraZeneca,,2636,D7261C00003,,2636,2636
,11,2761,Priority,NN9489-8449,Existing,Novo Norsdisk,, Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,6,11/10/2026,30,43,"860,000",31%,0%,0,0,31%,"265,167","19,964",0,0,0,"19,964","13,929",,0,0,0,0,0,0,0,0,0,0,"6,883","13,082",,,,,0,0,0,"19,964",,0,0,0,0,0,0,0,0,0,0,"6,883","13,082","19,964",,0,0,0,0,0,0,0,0,0,0,0,0,0,,76% - 85%,Other,0 to 60 Days,Other,,2761,NN9489-8449,,2761,2761
,12,2777,Non-Priority,C6491020,Existing,Pfizer,, Obesity ,Obesity,Non-Vaccine,2,9/14/2026,36,36,"719,928",83%,0%,0,0,83%,"593,941","97,972",0,0,"5,488","92,484","97,972",,0,0,0,0,0,0,0,0,"5,488","20,434","31,923","40,128",,,,,0,0,"5,488","92,484",,0,0,0,0,0,0,0,0,"5,488","20,434","31,923","40,128","97,972",,0,0,0,0,0,0,0,0,0,0,0,0,0,,76% - 85%,Other,0 to 60 Days,Pfizer,,2777,C6491020,,Non-Priority,New
,13,2763,Non-Priority,MK-5884-031,Existing,Merck,, COPD ,Respiratory,Non-Vaccine,7,11/20/2026,56,56,"1,119,928",39%,0%,0,0,39%,"439,972","25,541",0,0,0,"25,541","25,541",,0,0,0,0,0,0,0,0,0,0,"16,810","8,731",,,,,0,0,0,"25,541",,0,0,0,0,0,0,0,0,0,0,"16,810","8,731","25,541",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,0 to 60 Days,Other,,2763,MK-5884-031,,Non-Priority,New
,14,2685,Non-Priority,VCA23395,Existing,Sanofi, ICON , RSV Vaccine ,Vaccine-Respiratory,Vaccine,3,9/22/2026,85,85,"722,415",85%,60%,"509,940","-260,375",25%,"180,604","108,490",0,0,"20,689","87,800","108,490",,0,0,0,0,0,0,771,"5,039","14,880","39,053","32,399","16,348","-177,021","-83,354","-95,023.33",,0,0,"70,343","298,521",,0,0,0,0,0,0,"2,621","17,132","50,590","132,780","110,157","55,584","368,864",,0,0,0,0,0,0,"-1,850","-12,093","-35,711","-93,727","-77,758","-39,236",,,76% - 85%,ICON,61 to 90 Days,Sanofi,,2685,VCA23395,,Non-Priority,2685
,15,2764,Priority,NN9489-8034,Existing,Novo Norsdisk,, Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,4,11/10/2026,0,72,"1,224,000",44%,0%,0,0,44%,"535,500","33,646",0,0,0,"33,646",0,,0,0,0,0,0,0,0,0,0,0,"11,621","22,025",,,,,0,0,0,"33,646",,0,0,0,0,0,0,0,0,0,0,"11,621","22,025","33,646",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,0 to 60 Days,Other,,2764,NN9489-8034,,2764,2764
,16,2553,Non-Priority,306300,Existing,GSK, IQVIA , MASH ,Endocrine & Metabolism,Non-Vaccine,1,7/1/2026,3,4,"80,000",80%,0%,0,0,80%,"64,000","20,518",0,0,"11,226","9,293","15,389",,0,0,0,0,0,0,"4,995","3,358","2,872","3,386","2,755","3,152",,,,,0,0,"11,226","9,293",,0,0,0,0,0,0,"4,995","3,358","2,872","3,386","2,755","3,152","20,518",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,IQVIA,151 to 300 Days,GSK,,2553,306300,,Non-Priority,New
,17,2057,Non-Priority,CD388.SQ.3.06,Existing,"Cidara Therapeutics, Inc",Parexel,Influenza,Vaccine-Influenza,Vaccine,1,9/1/2026,0,21,"417,306",80%,0%,0,0,80%,"333,845","243,520",0,0,"80,057","163,463",0,,0,0,0,0,0,0,0,0,"80,057","106,236","31,203","26,024",,,,,0,0,"80,057","163,463",,0,0,0,0,0,0,0,0,"80,057","106,236","31,203","26,024","243,520",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Parexel,151 to 300 Days,Other,,2057,CD388.SQ.3.06,,Non-Priority,2057
,18,2218,Non-Priority,K9531-3104 (PAB77690),Existing,Kailera Therapeutics,IQVIA,Obesity,Obesity,Non-Vaccine,2,7/30/2026,47,47,"1,298,587",43%,0%,0,0,43%,"551,899","167,185",0,0,"64,194","102,991","167,185",,0,0,0,0,0,0,"14,542","21,086","28,566","33,766","35,376","33,849",,,,,0,0,"64,194","102,991",,0,0,0,0,0,0,"14,542","21,086","28,566","33,766","35,376","33,849","167,185",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,IQVIA,151 to 300 Days,Other,,2218,K9531-3104 (PAB77690),,Non-Priority,2218
,19,1945,Non-Priority,V201-08,Existing,Seqirus,IQVIA,Influenza,Vaccine-Influenza,Vaccine,7,11/6/2026,700,123,"1,045,500",5%,0%,0,0,5%,"52,275","8,077",0,0,0,"8,077","45,969",,0,0,0,0,0,0,0,0,0,0,"3,353","4,725",,,"1,404,857.29",,0,0,0,"8,077",,0,0,0,0,0,0,0,0,0,0,"3,353","4,725","8,077",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,151 to 300 Days,Seqirus,,1945,V201-08,,Non-Priority,1945
,20,2061,Non-Priority,80120522,Existing,No Information,Worldwide Clinical Trials,Obesity,Obesity,Non-Vaccine,7,11/6/2026,140,140,"2,800,000",5%,0%,0,0,5%,"140,000","50,476",0,0,0,"50,476","50,476",,0,0,0,0,0,0,0,0,0,0,"20,952","29,524",,,,,0,0,0,"50,476",,0,0,0,0,0,0,0,0,0,0,"20,952","29,524","50,476",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Worldwide Clinical Trials,151 to 300 Days,Other,,2061,80120522,,Non-Priority,2061
,21,2077,Non-Priority,OAB71527,Existing, No Information ,IQVIA, Shingles ,Vaccine-Other,Vaccine,17,7/31/2026,306,306,"2,601,000",5%,0%,0,0,5%,"130,050","35,966",0,0,"14,053","21,913","35,966",,0,0,0,0,0,0,0,"6,907","7,146","7,384","7,146","7,384",,,,,0,0,"14,053","21,913",,0,0,0,0,0,0,0,"6,907","7,146","7,384","7,146","7,384","35,966",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,151 to 300 Days,Other,,2077,OAB71527,,Non-Priority,2077
,22,2163,Non-Priority,Steel-101,Existing, Steel ,Target Health (Target Health), SAD/MAD ,Psychiatry,Non-Vaccine,3,11/6/2026,12,12,"240,000",5%,0%,0,0,5%,"12,000","1,933",0,0,0,"1,933","1,933",,0,0,0,0,0,0,0,0,0,0,802,"1,131",,,,,0,0,0,"1,933",,0,0,0,0,0,0,0,0,0,0,802,"1,131","1,933",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,151 to 300 Days,Other,,2163,Steel-101,,Non-Priority,2163
,23,2186,Priority,D4326C00007,Existing, AstraZeneca ,IQVIA, Liver Cirrhosis ,Gastroenterology,Non-Vaccine,1,4/30/2026,1,1,"20,000",30%,0%,0,0,30%,"6,000","1,623",0,228,698,698,"1,623",,0,0,0,0,0,228,235,235,228,235,228,235,,,,,0,228,698,698,,0,0,0,0,0,228,235,235,228,235,228,235,"1,623",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,151 to 300 Days,AstraZeneca,,2186,D4326C00007,,2186,2186
,24,2185,Priority,D4326C00006,Existing, AstraZeneca ,IQVIA, Liver Cirrhosis ,Gastroenterology,Non-Vaccine,1,4/30/2026,1,1,"20,000",30%,0%,0,0,30%,"6,000","1,623",0,228,698,698,"1,623",,0,0,0,0,0,228,235,235,228,235,228,235,,,,,0,228,698,698,,0,0,0,0,0,228,235,235,228,235,228,235,"1,623",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,151 to 300 Days,AstraZeneca,,2185,D4326C00006,,2185,2185
,25,2182,Non-Priority,CIN-102-124,Existing," CinDome Pharma, Inc ",Medpace, Idiopathic Gastroparesis ,Gastroenterology,Non-Vaccine,1,4/30/2026,1,1,"20,000",30%,0%,0,0,30%,"6,000","2,352",0,330,"1,011","1,011","2,352",,0,0,0,0,0,330,341,341,330,341,330,341,,,,,0,330,"1,011","1,011",,0,0,0,0,0,330,341,341,330,341,330,341,"2,352",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2182,CIN-102-124,,Non-Priority,2182
,26,2196,Non-Priority,D6940C00002,Existing, AstraZeneca ,None, Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,2,11/6/2026,12,12,"240,000",5%,0%,0,0,5%,"12,000","1,933",0,0,0,"1,933","1,933",,0,0,0,0,0,0,0,0,0,0,802,"1,131",,,,,0,0,0,"1,933",,0,0,0,0,0,0,0,0,0,0,802,"1,131","1,933",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,301 Onwards,AstraZeneca,,2196,D6940C00002,,Non-Priority,2196
