,,OK,,,,,,,,,,Loaded,,,"91,446,893",,9.86%,"4,901,698","-1,050,038",,,"9,018,658",0,"176,090","2,924,502","5,918,066",8010667.758,"-1,007,990",0,0,0,0,0,"176,090","337,279","1,187,949","1,399,274","1,757,032","1,980,981","2,180,052",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,ACT,ACT,ACT,ACT,ACT,FCST,FCST,FCST,FCST,FCST,FCST,FCST,,,,,,,OK,,,,,
,37,2541,Non-Priority,292006,Existing,No Information, Parexel , Alzheimer's Disease ,Psychiatry,Non-Vaccine,1,10/3/2026,8,8,"128,000",5%,0%,0,0,5%,"6,400","2,366",0,0,0,"2,366","2,366",,0,0,0,0,0,0,0,0,0,726,807,834,,,,,0,0,0,"2,366",,0,0,0,0,0,0,0,0,0,726,807,834,"2,366",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Parexel,151 to 300 Days,Other,,2541,292006,,Non-Priority,New
,38,2621,Priority,D8790C00001,Existing,AstraZeneca, IQVIA , Chronic Kidney Disease ,General Medicine,Non-Vaccine,7,6/30/2026,42,42,"840,000",26%,0%,0,0,26%,"222,000","25,571",0,0,"12,429","13,143","25,571",,0,0,0,0,0,0,"3,714","4,429","4,286","4,429","4,286","4,429",,,,,0,0,"12,429","13,143",,0,0,0,0,0,0,"3,714","4,429","4,286","4,429","4,286","4,429","25,571",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,151 to 300 Days,AstraZeneca,,2621,D8790C00001,,2621,2621
,39,2616,Priority,VBV19172,Existing,Sanofi, Sponsor Initiated , COVID-19 ,Vaccine-COVID,Vaccine,1,9/28/2026,8,8,"68,000",5%,0%,0,0,5%,"3,400","1,073",0,0,34,"1,039","1,073",,0,0,0,0,0,0,0,0,34,350,339,350,,,,,0,0,34,"1,039",,0,0,0,0,0,0,0,0,34,350,339,350,"1,073",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,151 to 300 Days,Sanofi,,2616,VBV19172,,2616,2616
,40,2610,Non-Priority,300622,Existing,GSK, ICON , IBS-D IBS-M , General Medicine ,Non-Vaccine,1,6/6/2026,0,4,"80,000",30%,0%,0,0,30%,"24,000","18,677",0,"2,075","8,301","8,301",0,,0,0,0,0,0,"2,075","2,797","2,797","2,707","2,797","2,707","2,797",,,,,0,"2,075","8,301","8,301",,0,0,0,0,0,"2,075","2,797","2,797","2,707","2,797","2,707","2,797","18,677",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,ICON,151 to 300 Days,GSK,,2610,300622,,Non-Priority,2610
,41,2609,Non-Priority,223960,Existing,GSK, (No Info) , RSV Vaccine ,Vaccine-Respiratory,Vaccine,1,6/3/2026,0,5,"42,500",5%,0%,0,0,5%,"2,125","1,208",0,134,537,537,0,,0,0,0,0,0,134,181,181,175,181,175,181,,,,,0,134,537,537,,0,0,0,0,0,134,181,181,175,181,175,181,"1,208",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,151 to 300 Days,GSK,,2609,223960,,Non-Priority,2609
,42,2601,Non-Priority,AAHI-AMVPX-123,Existing,Technical Resources International (TRI), None , Amoebiasis , Infectious Disease ,Non-Vaccine,2,5/2/2026,10,10,"200,000",5%,0%,0,0,5%,"10,000","4,703",0,659,"2,022","2,022","4,703",,0,0,0,0,0,659,681,681,659,681,659,681,,,,,0,659,"2,022","2,022",,0,0,0,0,0,659,681,681,659,681,659,681,"4,703",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,151 to 300 Days,Other,,2601,AAHI-AMVPX-123,,Non-Priority,2601
,43,2599,Non-Priority,CLI-10196AA1-02,Existing,"Chiesi Usa, Inc.", IQVIA , Bronchiectasis , Respiratory ,Non-Vaccine,2,8/2/2026,12,12,"240,000",5%,0%,0,0,5%,"12,000","3,319",0,0,"1,297","2,022","3,319",,0,0,0,0,0,0,0,637,659,681,659,681,,,,,0,0,"1,297","2,022",,0,0,0,0,0,0,0,637,659,681,659,681,"3,319",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,151 to 300 Days,Other,,2599,CLI-10196AA1-02,,Non-Priority,2599
,44,2596,Non-Priority,CDDY391B12201,Existing,Novartis, IQVIA , Systemic Lupus Erythematosus (SLE) ,General Medicine,Non-Vaccine,1,8/27/2026,5,5,"100,000",5%,0%,0,0,5%,"5,000","3,820",0,0,963,"2,857","3,820",,0,0,0,0,0,0,0,31,932,963,932,963,,,,,0,0,963,"2,857",,0,0,0,0,0,0,0,31,932,963,932,963,"3,820",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,151 to 300 Days,Other,,2596,CDDY391B12201,,Non-Priority,2596
,45,2593,Non-Priority,306938,Existing,GSK, (No Info) , Influenza ,Vaccine-Influenza,Vaccine,4,4/29/2026,0,320,"2,720,000",30%,0%,0,0,30%,"816,000","479,736",0,"67,253","206,242","206,242",0,,0,0,0,0,0,"67,253","69,495","69,495","67,253","69,495","67,253","69,495",,,,,0,"67,253","206,242","206,242",,0,0,0,0,0,"67,253","69,495","69,495","67,253","69,495","67,253","69,495","479,736",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,GSK,,2593,306938,,Non-Priority,2593
,46,2590,Non-Priority,RAB35102,Existing,No Information, IQVIA , Lyme ,Vaccine-Other,Vaccine,6,5/8/2026,30,30,"255,000",13%,0%,0,0,13%,"34,000","23,623",0,"3,312","10,156","10,156","23,623",,0,0,0,0,0,"3,312","3,422","3,422","3,312","3,422","3,312","3,422",,,,,0,"3,312","10,156","10,156",,0,0,0,0,0,"3,312","3,422","3,422","3,312","3,422","3,312","3,422","23,623",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,151 to 300 Days,Other,,2590,RAB35102,,Non-Priority,2590
,47,2632,Priority,NN9490-8665,Existing,Novo Norsdisk, Unknown , Atherosclerotic cardiovascular disease ,Cardiovascular,Non-Vaccine,2,10/26/2026,20,20,"400,000",18%,0%,0,0,18%,"70,000","9,306",0,0,0,"9,306","9,306",,0,0,0,0,0,0,0,0,0,833,"4,167","4,306",,,,,0,0,0,"9,306",,0,0,0,0,0,0,0,0,0,833,"4,167","4,306","9,306",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2632,NN9490-8665,,2632,2632
,48,2631,Priority,NN9490-8037,Existing,Novo Norsdisk, Unknown , CVOT ,Cardiovascular,Non-Vaccine,2,10/26/2026,20,20,"400,000",18%,0%,0,0,18%,"70,000","9,306",0,0,0,"9,306","9,306",,0,0,0,0,0,0,0,0,0,833,"4,167","4,306",,,,,0,0,0,"9,306",,0,0,0,0,0,0,0,0,0,833,"4,167","4,306","9,306",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,151 to 300 Days,Other,,2631,NN9490-8037,,2631,2631
,49,2640,Non-Priority,7076875,Existing,No Information, Syneos Health , Not Available in Atom , Cardiovascular ,Non-Vaccine,1,7/1/2026,8,8,"160,000",5%,0%,0,0,5%,"8,000","2,841",0,0,"1,381","1,460","2,841",,0,0,0,0,0,0,413,492,476,492,476,492,,,,,0,0,"1,381","1,460",,0,0,0,0,0,0,413,492,476,492,476,492,"2,841",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Syneos Health,91 to 150 Days,Other,,2640,7076875,,Non-Priority,2640
,50,2656,Non-Priority,M26-266,Existing,Abbvie, Unknown , Crohn's Disease ,Gastroenterology,Non-Vaccine,2,7/17/2026,16,16,"320,000",5%,0%,0,0,5%,"16,000","5,167",0,0,"2,286","2,881","5,167",,0,0,0,0,0,0,376,971,940,971,940,971,,,,,0,0,"2,286","2,881",,0,0,0,0,0,0,376,971,940,971,940,971,"5,167",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,91 to 150 Days,Other,,2656,M26-266,,Non-Priority,2656
,51,2655,Non-Priority,GSBR-1290-12,Existing,Structure Therapeutics, Parexel ,Obesity,Obesity,Non-Vaccine,2,7/30/2026,16,16,"320,000",30%,0%,0,0,30%,"96,000","27,985",0,0,"10,934","17,050","27,985",,0,0,0,0,0,0,0,"5,375","5,560","5,745","5,560","5,745",,,,,0,0,"10,934","17,050",,0,0,0,0,0,0,0,"5,375","5,560","5,745","5,560","5,745","27,985",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Parexel,91 to 150 Days,Other,,2655,GSBR-1290-12,,Non-Priority,2655
,52,2651,Priority,J2A-MC-GZVA,Existing,Eli Lilly, Unknown , Not Available in Atom , Endocrine & Metabolism ,Non-Vaccine,15,5/20/2026,225,225,"4,500,000",30%,22%,"3,285,000","-418,446",8%,"364,500","154,768",0,"21,696","66,536","66,536","154,768",,0,0,0,0,0,"21,696","22,420","22,420","21,696","22,420","21,696","22,420",,,"-418,446",,0,"80,357","246,429","246,429",,0,0,0,0,0,"80,357","83,036","83,036","80,357","83,036","80,357","83,036","573,214",,0,0,0,0,0,"-58,661","-60,616","-60,616","-58,661","-60,616","-58,661","-60,616",,,11% - 30%,Other,91 to 150 Days,Other,,2651,J2A-MC-GZVA,,2651,2651
,53,2682,Non-Priority,NOE-TTS-201,Existing,No Information, Unknown , Not Available in Atom , CNS ,Non-Vaccine,1,11/6/2026,2,2,"40,000",5%,0%,0,0,5%,"2,000",210,0,0,0,210,210,,0,0,0,0,0,0,0,0,0,0,87,123,,,,,0,0,0,210,,0,0,0,0,0,0,0,0,0,0,87,123,210,,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,91 to 150 Days,Other,,2682,NOE-TTS-201,,Non-Priority,2682
,54,2676,Non-Priority,AB-101-05,Existing,Artiva Biotherapeutics, PPD , Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,2,6/6/2026,20,20,"320,000",30%,0%,0,0,30%,"96,000","39,429",0,"4,381","17,524","17,524","39,429",,0,0,0,0,0,"4,381","5,905","5,905","5,714","5,905","5,714","5,905",,,,,0,"4,381","17,524","17,524",,0,0,0,0,0,"4,381","5,905","5,905","5,714","5,905","5,714","5,905","39,429",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,91 to 150 Days,Other,,2676,AB-101-05,,Non-Priority,2676
,55,2669,Non-Priority,NT-0796-P005,Existing,NodThera, Medpace , Cardiovascular Disease ,Cardiovascular,Non-Vaccine,4,5/2/2026,20,20,"320,000",30%,0%,0,0,30%,"96,000","40,762",0,"5,714","17,524","17,524","40,762",,0,0,0,0,0,"5,714","5,905","5,905","5,714","5,905","5,714","5,905",,,,,0,"5,714","17,524","17,524",,0,0,0,0,0,"5,714","5,905","5,905","5,714","5,905","5,714","5,905","40,762",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,91 to 150 Days,Other,,2669,NT-0796-P005,,Non-Priority,2669
,56,2697,Non-Priority,C4591083,Existing,Pfizer, Unknown , COVID-19 ,Vaccine-COVID,Vaccine,4,6/1/2026,80,80,"680,000",55%,0%,0,0,55%,"374,000","167,130",0,"23,429","71,850","71,850","167,130",,0,0,0,0,0,"23,429","24,210","24,210","23,429","24,210","23,429","24,210",,,,,0,"23,429","71,850","71,850",,0,0,0,0,0,"23,429","24,210","24,210","23,429","24,210","23,429","24,210","167,130",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,61 to 90 Days,Pfizer,,2697,C4591083,,Non-Priority,2697
,57,2698,Non-Priority,382-201-00032,Existing,Otsuka, Syneos Health , General Anxiety Disorder ,Psychiatry,Non-Vaccine,1,6/1/2026,10,10,"200,000",30%,0%,0,0,30%,"60,000","25,476",0,"3,571","10,952","10,952","25,476",,0,0,0,0,0,"3,571","3,690","3,690","3,571","3,690","3,571","3,690",,,,,0,"3,571","10,952","10,952",,0,0,0,0,0,"3,571","3,690","3,690","3,571","3,690","3,571","3,690","25,476",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Syneos Health,61 to 90 Days,Other,,2698,382-201-00032,,Non-Priority,2698
,58,2693,Non-Priority,VGX-002-001,Existing,Vogenx, Unknown , Idiopathic Gastroparesis ,Gastroenterology,Non-Vaccine,2,9/7/2026,48,48,"768,000",30%,0%,0,0,30%,"230,400","53,029",0,0,"10,971","42,057","53,029",,0,0,0,0,0,0,0,0,"10,971","14,171","13,714","14,171",,,,,0,0,"10,971","42,057",,0,0,0,0,0,0,0,0,"10,971","14,171","13,714","14,171","53,029",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,61 to 90 Days,Other,,2693,VGX-002-001,,Non-Priority,2693
,59,2694,Non-Priority,382-201-00032,Existing,Otsuka, Syneos Health , General Anxiety Disorder ,Psychiatry,Non-Vaccine,1,6/14/2026,20,20,"400,000",5%,0%,0,0,5%,"20,000","7,937",0,635,"3,651","3,651","7,937",,0,0,0,0,0,635,"1,230","1,230","1,190","1,230","1,190","1,230",,,,,0,635,"3,651","3,651",,0,0,0,0,0,635,"1,230","1,230","1,190","1,230","1,190","1,230","7,937",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Syneos Health,61 to 90 Days,Other,,2694,382-201-00032,,Non-Priority,New
,60,2690,Non-Priority,BHB-1893-301,Existing,Braveheart Bio, PPD , Not Available in Atom , Cardiovascular ,Non-Vaccine,3,8/2/2026,41,41,"816,000",13%,0%,0,0,13%,"108,800","13,422",0,0,"5,244","8,178","13,422",,0,0,0,0,0,0,0,"2,578","2,667","2,756","2,667","2,756",,,,,0,0,"5,244","8,178",,0,0,0,0,0,0,0,"2,578","2,667","2,756","2,667","2,756","13,422",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,PPD,61 to 90 Days,Other,,2690,BHB-1893-301,,Non-Priority,2690
,61,2727,Non-Priority,Unknown,Existing,No Information, IQVIA , Non-Cystic Fibrosis Bronchiectasis ,,Non-Vaccine,1,7/6/2026,10,10,"160,000",30%,0%,0,0,30%,"48,000","17,048",0,0,"8,286","8,762","17,048",,0,0,0,0,0,0,"2,476","2,952","2,857","2,952","2,857","2,952",,,,,0,0,"8,286","8,762",,0,0,0,0,0,0,"2,476","2,952","2,857","2,952","2,857","2,952","17,048",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,61 to 90 Days,Other,,2727,Unknown,,Non-Priority,2727
,62,2724,Non-Priority,26-2579,Existing,No Information, ICON , Gout ,General Medicine,Non-Vaccine,4,9/7/2026,60,60,"960,000",30%,0%,0,0,30%,"288,000","66,286",0,0,"13,714","52,571","66,286",,0,0,0,0,0,0,0,0,"13,714","17,714","17,143","17,714",,,,,0,0,"13,714","52,571",,0,0,0,0,0,0,0,0,"13,714","17,714","17,143","17,714","66,286",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,ICON,61 to 90 Days,Other,,2724,26-2579,,Non-Priority,2724
,63,2723,Non-Priority,26-2572,Existing,No Information, ICON , Gout ,General Medicine,Non-Vaccine,4,9/7/2026,60,60,"960,000",30%,0%,0,0,30%,"288,000","66,286",0,0,"13,714","52,571","66,286",,0,0,0,0,0,0,0,0,"13,714","17,714","17,143","17,714",,,,,0,0,"13,714","52,571",,0,0,0,0,0,0,0,0,"13,714","17,714","17,143","17,714","66,286",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,ICON,61 to 90 Days,Other,,2723,26-2572,,Non-Priority,2723
,64,2716,Non-Priority,D9186C00004/D9186C00005,Existing,AstraZeneca, IQVIA , Non-Cystic Fibrosis Bronchiectasis , Respiratory ,Non-Vaccine,2,9/7/2026,8,8,"128,000",30%,0%,0,0,30%,"38,400","8,838",0,0,"1,829","7,010","8,838",,0,0,0,0,0,0,0,0,"1,829","2,362","2,286","2,362",,,,,0,0,"1,829","7,010",,0,0,0,0,0,0,0,0,"1,829","2,362","2,286","2,362","8,838",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,61 to 90 Days,AstraZeneca,,2716,D9186C00004/D9186C00005,,Non-Priority,2716
,65,2707,Non-Priority,222725,Existing,GSK, PPD , COPD ,Respiratory,Non-Vaccine,1,9/7/2026,12,12,"192,000",80%,0%,0,0,80%,"153,600","35,352",0,0,"7,314","28,038","35,352",,0,0,0,0,0,0,0,0,"7,314","9,448","9,143","9,448",,,,,0,0,"7,314","28,038",,0,0,0,0,0,0,0,0,"7,314","9,448","9,143","9,448","35,352",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,PPD,61 to 90 Days,GSK,,2707,222725,,Non-Priority,2707
,66,2706,Non-Priority,222714,Existing,GSK, PPD , COPD ,Respiratory,Non-Vaccine,1,9/7/2026,12,12,"192,000",80%,0%,0,0,80%,"153,600","35,352",0,0,"7,314","28,038","35,352",,0,0,0,0,0,0,0,0,"7,314","9,448","9,143","9,448",,,,,0,0,"7,314","28,038",,0,0,0,0,0,0,0,0,"7,314","9,448","9,143","9,448","35,352",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,PPD,61 to 90 Days,GSK,,2706,222714,,Non-Priority,2706
,67,2751,Non-Priority,FYU-981-CRYS-202,Existing, Crystalys therapeutics , ICON , Gout ,General Medicine,Non-Vaccine,1,10/2/2026,3,3,"48,000",30%,0%,0,0,30%,"14,400","2,446",0,0,0,"2,446","2,446",,0,0,0,0,0,0,0,0,0,751,834,862,,,,,0,0,0,"2,446",,0,0,0,0,0,0,0,0,0,751,834,862,"2,446",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,ICON,0 to 60 Days,Other,,2751,FYU-981-CRYS-202,,Non-Priority,2751
,68,2747,Non-Priority,308532,Existing,GSK,, HIV , Infectious Disease ,Non-Vaccine,1,7/1/2026,2,2,"32,000",30%,0%,0,0,30%,"9,600","3,317",0,0,"1,612","1,705","3,317",,0,0,0,0,0,0,482,575,556,575,556,575,,,,,0,0,"1,612","1,705",,0,0,0,0,0,0,482,575,556,575,556,575,"3,317",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,0 to 60 Days,GSK,,2747,308532,,Non-Priority,2747
,69,2746,Priority,D7961C00001,Existing,AstraZeneca,, Dyslipidemia ,Cardiovascular,Non-Vaccine,6,9/4/2026,76,76,"1,216,000",30%,0%,0,0,30%,"364,800","82,469",0,0,"17,063","65,406","82,469",,0,0,0,0,0,0,0,0,"17,063","22,039","21,328","22,039",,,,,0,0,"17,063","65,406",,0,0,0,0,0,0,0,0,"17,063","22,039","21,328","22,039","82,469",,0,0,0,0,0,0,0,0,0,0,0,0,,,76% - 85%,Other,0 to 60 Days,AstraZeneca,,2746,D7961C00001,,2746,2746
,70,2743,Non-Priority,2513T1632,Existing, Shionogi , PPD , COVID-19 Treatment , General Medicine ,Non-Vaccine,2,10/2/2026,24,24,"384,000",30%,0%,0,0,30%,"115,200","19,842",0,0,0,"19,842","19,842",,0,0,0,0,0,0,0,0,0,"6,088","6,764","6,990",,,,,0,0,0,"19,842",,0,0,0,0,0,0,0,0,0,"6,088","6,764","6,990","19,842",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,0 to 60 Days,Other,,2743,2513T1632,,Non-Priority,2743
,71,2741,Non-Priority,300743,Existing,GSK, IQVIA , Asthma ,Respiratory,Non-Vaccine,3,8/3/2026,9,9,"144,000",30%,0%,0,0,30%,"43,200","12,710",0,0,"4,966","7,744","12,710",,0,0,0,0,0,0,0,"2,441","2,525","2,609","2,525","2,609",,,,,0,0,"4,966","7,744",,0,0,0,0,0,0,0,"2,441","2,525","2,609","2,525","2,609","12,710",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,0 to 60 Days,GSK,,2741,300743,,Non-Priority,2741
,72,2740,Non-Priority,300742,Existing,, IQVIA , Asthma ,Respiratory,Non-Vaccine,3,8/3/2026,9,9,"144,000",30%,0%,0,0,30%,"43,200","12,710",0,0,"4,966","7,744","12,710",,0,0,0,0,0,0,0,"2,441","2,525","2,609","2,525","2,609",,,,,0,0,"4,966","7,744",,0,0,0,0,0,0,0,"2,441","2,525","2,609","2,525","2,609","12,710",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,0 to 60 Days,Other,,2740,300742,,Non-Priority,2740
,73,2774,Non-Priority,NOE115-VMS-202,Existing, Noema Pharma ,, Vasomotor Symptoms ,Endocrine & Metabolism,Non-Vaccine,8,7/14/2026,96,96,"1,536,000",30%,0%,0,0,30%,"460,800","150,857",0,0,"66,743","84,114","150,857",,0,0,0,0,0,0,"10,971","28,343","27,429","28,343","27,429","28,343",,,,,0,0,"66,743","84,114",,0,0,0,0,0,0,"10,971","28,343","27,429","28,343","27,429","28,343","150,857",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,0 to 60 Days,Other,,2774,NOE115-VMS-202,,Non-Priority,2774
,74,2765,Priority,NN9489-8035,Existing,Novo Norsdisk,, Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,3,11/10/2026,37,37,"596,000",30%,0%,0,0,30%,"178,800","16,319",0,0,0,"16,319","16,319",,0,0,0,0,0,0,0,0,0,0,"5,321","10,998",,,,,0,0,0,"16,319",,0,0,0,0,0,0,0,0,0,0,"5,321","10,998","16,319",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,0 to 60 Days,Other,,2765,NN9489-8035,,2765,2765
,75,2762,Priority,NN9489-8033,Existing,Novo Norsdisk,, Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,3,11/10/2026,54,54,"864,000",30%,0%,0,0,30%,"259,200","23,657",0,0,0,"23,657","23,657",,0,0,0,0,0,0,0,0,0,0,"7,714","15,943",,,,,0,0,0,"23,657",,0,0,0,0,0,0,0,0,0,0,"7,714","15,943","23,657",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,Other,0 to 60 Days,Other,,2762,NN9489-8033,,2762,2762
,76,2759,Non-Priority,NBI-1065845-MDD3026,Existing,Neurocrine Biosciences, IQVIA , Major Depressive Disorder ,Psychiatry,Non-Vaccine,1,9/30/2026,0,11,"176,000",5%,0%,0,0,5%,"8,800","1,537",0,0,0,"1,537",0,,0,0,0,0,0,0,0,0,0,471,524,541,,,,,0,0,0,"1,537",,0,0,0,0,0,0,0,0,0,471,524,541,"1,537",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,0 to 60 Days,Other,,2759,NBI-1065845-MDD3026,,Non-Priority,2759
,77,2758,Priority,EVO765-MIG001,Existing, Evommune , IQVIA , Migraine ,Psychiatry,Non-Vaccine,2,6/14/2026,110,110,"1,760,000",5%,0%,0,0,5%,"88,000","34,921",0,"2,794","16,063","16,063","34,921",,0,0,0,0,0,"2,794","5,413","5,413","5,238","5,413","5,238","5,413",,,,,0,"2,794","16,063","16,063",,0,0,0,0,0,"2,794","5,413","5,413","5,238","5,413","5,238","5,413","34,921",,0,0,0,0,0,0,0,0,0,0,0,0,,,0% - 10%,IQVIA,0 to 60 Days,Other,,2758,EVO765-MIG001,,2758,2758
,78,2797,Non-Priority,R5713-5715-ALG-2595,New,Regeneron, Parexel , Birch Pollen Allergy ,,Non-Vaccine,1,10/15/2026,8,8,"160,000",85%,0%,0,0,85%,"136,000","19,968",0,0,0,"19,968","19,968",,0,0,0,0,0,0,0,0,0,"3,508","8,095","8,365",,,,,0,0,0,"19,968",,0,0,0,0,0,0,0,0,0,"3,508","8,095","8,365","19,968",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Parexel,0 to 60 Days,Other,,2797,R5713-5715-ALG-2595,,Non-Priority,New
,79,2792,Non-Priority,ASC30-302,New, Ascletis Pharma , PPD , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,13,8/3/2026,378,378,"6,048,000",30%,0%,0,0,30%,"1,814,400","543,600",0,0,"212,400","331,200","543,600",,0,0,0,0,0,0,0,"104,400","108,000","111,600","108,000","111,600",,,,,0,0,"212,400","331,200",,0,0,0,0,0,0,0,"104,400","108,000","111,600","108,000","111,600","543,600",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,0 to 60 Days,Other,,2792,ASC30-302,,Non-Priority,New
,80,2791,Non-Priority,ASC30-301,New, Ascletis Pharma , PPD , Chronic Weight Management , Endocrine & Metabolism ,Non-Vaccine,13,8/3/2026,608,608,"9,728,000",30%,0%,0,0,30%,"2,918,400","874,362",0,0,"341,638","532,724","874,362",,0,0,0,0,0,0,0,"167,924","173,714","179,505","173,714","179,505",,,,,0,0,"341,638","532,724",,0,0,0,0,0,0,0,"167,924","173,714","179,505","173,714","179,505","874,362",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,0 to 60 Days,Other,,2791,ASC30-301,,Non-Priority,New
,81,2781,Non-Priority,783652,New,, Fortrea , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,13,11/2/2026,162,162,"2,592,000",30%,0%,0,0,30%,"777,600","92,571",0,0,0,"92,571","92,571",,0,0,0,0,0,0,0,0,0,0,"44,743","47,829",,,,,0,0,0,"92,571",,0,0,0,0,0,0,0,0,0,0,"44,743","47,829","92,571",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,0 to 60 Days,Other,,2781,783652,,Non-Priority,New
,82,2782,Non-Priority,783653,New,, Fortrea , Type 2 Diabetes ,Endocrine & Metabolism,Non-Vaccine,14,11/2/2026,174,174,"2,784,000",29%,0%,0,0,29%,"815,314","97,143",0,0,0,"97,143","97,143",,0,0,0,0,0,0,0,0,0,0,"46,952","50,190",,,,,0,0,0,"97,143",,0,0,0,0,0,0,0,0,0,0,"46,952","50,190","97,143",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,0 to 60 Days,Other,,2782,783653,,Non-Priority,New
,83,2789,Non-Priority,UAB02022,New,, IQVIA , Rheumatoid Arthritis ,Rheumatology,Non-Vaccine,1,12/6/2026,340,340,"5,440,000",30%,0%,0,0,30%,"1,632,000","80,952",0,0,0,"80,952","80,952",,0,0,0,0,0,0,0,0,0,0,0,"80,952",,,,,0,0,0,"80,952",,0,0,0,0,0,0,0,0,0,0,0,"80,952","80,952",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,IQVIA,0 to 60 Days,Other,,2789,UAB02022,,Non-Priority,New
,84,2787,Non-Priority,BC# 150693-01,New,,, Blepharitis , Ophthalmology ,Non-Vaccine,1,7/1/2026,25,25,"400,000",30%,0%,0,0,30%,"120,000","42,619",0,0,"20,714","21,905","42,619",,0,0,0,0,0,0,"6,190","7,381","7,143","7,381","7,143","7,381",,,,,0,0,"20,714","21,905",,0,0,0,0,0,0,"6,190","7,381","7,143","7,381","7,143","7,381","42,619",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,Other,0 to 60 Days,Other,,2787,BC# 150693-01,,Non-Priority,New
,85,2809,Non-Priority,150862-01,New,, PPD , Geographic Atrophy , Ophthalmology ,Non-Vaccine,1,7/1/2026,1,1,"16,000",30%,0%,0,0,30%,"4,800","1,705",0,0,829,876,"1,705",,0,0,0,0,0,0,248,295,286,295,286,295,,,,,0,0,829,876,,0,0,0,0,0,0,248,295,286,295,286,295,"1,705",,0,0,0,0,0,0,0,0,0,0,0,0,,,11% - 30%,PPD,0 to 60 Days,Other,,2809,150862-01,,Non-Priority,New
